LLC-prefetches,cache-misses,cache-references,cycles,dtlb_misses_walk_cycles,inst_retired_any_p,instructions,l2_lines_in_any,stalled-cycles-backend,stalled-cycles-frontend
381286946,353923804,438243367,48607911239,341491651,30559668676,30832202351,821152697,24769303339,36961025612
358806583,379227404,450541255,48514491564,281190179,27400210370,27477630176,800431099,26511513745,38304080595
389283152,336868262,397409620,48187823692,106593135,27598623169,27911671395,767473334,25203118585,37927071105
388426751,334489330,389245486,48140425687,104284613,27827664559,27642897576,767406781,27017707310,37924183810
388264917,336020001,392580357,48186269033,114564841,27902881630,27516146976,767710246,26608542529,38184546527
385533155,354869105,441522579,48539780724,395697178,29986137701,30413672687,825533794,24495471126,37183353100
403711000,326472440,381423408,40208525783,135794854,24644327102,25012050352,766741760,22068523119,31469093360
377739924,351327940,469959520,48077474648,513557580,30452348619,30220215686,850175598,25395500521,37790924119
398975673,325496234,370810493,39361793524,109238288,23664499657,23626077048,754804238,19963345466,31365550541
409788143,323393439,367472953,38477508144,98814423,23587064526,23595522481,757510634,19756764781,30724100695
403734801,323399663,369221075,38674626643,103522364,23897878638,23530359672,754036753,21499186663,30830425726
399302402,327666264,380057380,40155029878,157299161,24380341045,24741699650,765167380,21238361535,31726440155
407667657,324928469,381157254,39922538686,123600496,24740144375,25011810191,770194053,20866599835,31361748799
398975457,325312590,380715912,39679637874,122827961,24334766865,24703331402,762322742,21988800844,31288900478
404412058,324961659,376074580,39432115760,131142871,24785782421,24494461184,769661977,21071036053,31128769999
399928920,327104499,384432534,40192381858,144240509,25076174108,24771637726,768257342,20310264344,31784622932
407754865,323296393,377122502,39869186520,127549519,24613495823,24814967722,768921160,19996373296,31353792355
402900545,325487822,379877306,39777598840,118928382,24333624970,24645689958,765877948,20817455652,31412573251
402352957,324359056,380674353,39543383569,120159491,24463144472,24478043666,767608798,20453896952,31216735761
403975226,324615454,379042254,39677583094,137949420,25196534772,24593686599,768288856,20864231627,31270667449
405442610,323322592,375568065,39788323233,127533228,24499154974,24450471551,765351578,20736617977,31448759672
403006158,324123433,379304079,39858075607,123558474,24311475219,24697295126,764488717,19693133835,31325205451
404401266,324092051,375270531,39361597855,125166388,24807535082,24437548651,767769634,19762662343,31055450169
405434365,324996170,378351742,39572590280,140456118,24764346906,24316274739,769250243,20030908334,31306998929
