LLC-prefetches,cache-misses,cache-references,cycles,dtlb_misses_walk_cycles,inst_retired_any_p,instructions,l2_lines_in_any,stalled-cycles-backend,stalled-cycles-frontend
28257,657032,1024502,99925972,6317734,31978987,21426134,587365,69536491,85325966
457472,17158916,23909126,8221126894,6863588,3372618238,3223522817,22737914,5076356737,6446159885
472011,12159829,22761592,8042020573,6205549,3299305162,3222827661,22569718,4968042125,6210128200
455194,12461867,21464598,8176346754,6830790,3318722716,3298564111,22727568,4989471413,6328775844
14581143,31186508,78266192,8620491519,284955418,6928924575,6631107991,100272639,3686145757,5407305534
34479,689428,625647,92389607,8227098,8481518,17754227,836281,61590974,81412348
1000188,1459745,3529054,473701361,22949167,435991279,213592427,5116421,207060486,356826736
<not counted>,729771,1248487,111010097,5651315,<not counted>,30049330,<not counted>,57417367,93140212
<not counted>,653142,1080976,96719974,1906345,1857477,22756474,84479,59067772,82184403
8268256,11654785,38919496,4416963097,154918460,4110176169,3918427284,49372666,1766946813,2801982011
<not counted>,683243,929700,91603834,9146165,714804,17718650,<not counted>,59474676,80196715
<not counted>,625871,513057,131617965,8257086,58471530,40309627,<not counted>,75214483,104118875
<not counted>,354270,348093,53643587,9256042,7568005,11065451,890227,60329115,74041625
<not counted>,752069,478706,104420797,8125160,<not counted>,24570702,<not counted>,69360545,89546172
<not counted>,665249,513286,99503512,7367928,7140649,26827908,<not counted>,66991698,85622691
<not counted>,560904,843412,81106086,8085927,<not counted>,13166625,<not counted>,58408945,72358804
<not counted>,459390,510815,86752956,9062353,<not counted>,14757681,<not counted>,59973527,76868598
<not counted>,522385,755806,88136312,2431965,27877468,20669825,321373,52329490,75442302
<not counted>,528158,861817,72686110,2664093,<not counted>,14185927,<not counted>,51750042,63988952
<not counted>,559608,590851,77869799,8055174,<not counted>,17035251,<not counted>,50315109,67588986
<not counted>,425847,821947,64471257,1716878,1312132,11756928,<not counted>,48345106,56993322
<not counted>,450006,814652,64775275,1482183,609200,13158610,81551,40752289,59650960
<not counted>,519552,902307,81816752,1598944,1460851,16454958,<not counted>,53514830,71451270
845,434597,676951,60232353,6390161,603319,10907795,84719,42321783,55725355
