LLC-prefetches,cache-misses,cache-references,cycles,dtlb_misses_walk_cycles,inst_retired_any_p,instructions,l2_lines_in_any,stalled-cycles-backend,stalled-cycles-frontend
489999143,202405297,347711530,48630920308,373746322,30584512733,30697538400,833662323,23756648383,36847593707
470928402,215037784,301800637,48606800278,138278937,24958476901,25331287539,753288895,27471257951,39084233704
491431377,204278149,370140422,51238361044,391757569,32943967116,32854034691,871764209,26113352061,39220315859
466154757,189744178,242077147,39452755918,120668700,22389870476,22021844548,695807569,22330271663,32012540200
470319635,194184572,254497684,40706971092,121691953,23219305997,23361984425,710883646,22345780758,32461344821
478005170,200647512,314174249,48187734445,243195694,31487466602,30937780114,794182436,26161586282,37967770410
471437808,217099492,301637565,48444852649,113334825,25065870894,25294367053,747930173,26058413464,38810609046
472233373,214931058,329053698,50415610821,206620325,28915000871,29219791877,795431062,27122576217,39783233896
467549707,190010083,242798033,39765672648,110173160,22033794883,22236000518,693395986,21447035121,32340280375
468839059,190769905,243898946,39428081175,121529260,22370636737,22083550476,698270482,22018087099,31874758052
467877041,189642583,245762773,39698461142,107791737,21977572290,22233680068,694590082,22373995448,32047671794
467573403,189825340,241240661,39478806453,113188686,22323662865,21991507849,694026385,20912473430,31991894102
468681285,193673194,248451660,39789245728,119091125,22208549210,22575102249,701837197,21141468115,32143223751
466912579,190083783,244038654,39490069566,112185564,22363962425,22018390216,693664275,22257628378,31957806171
465880275,189644940,236924985,39203497448,93316868,21396669812,21696580983,684916938,21288306268,31768226374
466688512,191478544,234558772,38454821655,86378549,21488050456,21118448309,690019256,21620183154,31437532526
466960328,188868981,228378689,38893163574,76563725,20815122253,20958573105,679588491,22688331771,31948605919
466165818,189454998,230083152,38415371678,78749030,21203063359,20853542364,682166237,21677872099,31455073410
467526053,189961241,236880916,39134381861,91553438,21377013715,21672266088,688812719,21673657358,31873037108
468248685,189008040,240464707,39288034696,105206252,21684793176,21972006639,691947749,21281853422,31750200819
468347561,192545308,243355283,39507896268,115463711,22354640126,22108063123,697057834,20974249953,32013372905
468366861,189668720,242037258,40849637022,110073004,22419400594,22262312424,693464014,21415850273,33049717506
468913900,189699720,242370309,39482954145,113492705,22105592023,22276911182,697441867,22619619947,31925672479
468898126,193421237,247700746,39829609164,110258013,22226517193,22360789679,701207548,21758136194,32104285161
