LLC-prefetches,cache-misses,cache-references,cycles,dtlb_misses_walk_cycles,inst_retired_any_p,instructions,l2_lines_in_any,stalled-cycles-backend,stalled-cycles-frontend
6489849,4017316,34161984,3167059793,57571145,3056379850,3036311994,44474146,1083206296,1665592210
26603172,29594325,60943701,8581187140,2960365,3907891994,3864703893,79328023,4611487546,6443824053
31530800,12283668,85553138,7260305895,166227466,9199698832,8979160644,127538758,1800013056,3728968869
<not counted>,102546,1336187,45978629,505215,<not counted>,18194054,<not counted>,21152869,34446066
32596771,12135762,78752434,7385189498,156536335,10125339298,9724993082,120108640,1655021191,3728917016
28828552,11921899,53148437,6240764635,130063309,9480583314,9405285694,93021382,1258742008,3193115798
27914347,32146655,63882578,8610392392,2944853,3900832926,3885513473,73751548,4584292871,6490079067
13550494,5841855,50071375,4233856777,113807027,4896303754,4958150622,81679694,1162327670,2203058532
380885,234474,2325999,136673877,1309490,114354462,102457398,887066,45100064,81953515
<not counted>,80184,1180493,36721977,<not counted>,<not counted>,12831006,<not counted>,13357777,28069695
<not counted>,80687,1358310,41823327,<not counted>,<not counted>,16144631,<not counted>,21557237,31221534
<not counted>,89446,1404049,44354068,<not counted>,<not counted>,17533389,<not counted>,27249982,33030240
<not counted>,93949,716723,52626454,1876697,<not counted>,26892215,<not counted>,22727827,36740534
<not counted>,103164,1025221,41880088,<not counted>,<not counted>,14591892,<not counted>,18348348,32210829
<not counted>,64315,1226586,35346995,<not counted>,<not counted>,11990959,<not counted>,18790318,27127135
<not counted>,69214,1223988,39425911,<not counted>,<not counted>,17653429,<not counted>,2846514,28588799
<not counted>,98594,747919,40304793,<not counted>,<not counted>,17029331,<not counted>,18218529,29880248
205525,136410,2138923,74818424,593882,77337782,39843569,602392,25058195,49812672
<not counted>,51934,589436,29606284,2069613,<not counted>,10416988,<not counted>,16286302,22967952
<not counted>,76143,756914,34333520,1892470,<not counted>,12206913,<not counted>,17085462,26542842
<not counted>,172754,1258959,49993063,<not counted>,<not counted>,21245030,<not counted>,27722685,37472219
<not counted>,65019,1054642,29905534,<not counted>,<not counted>,10671287,<not counted>,16735601,23053715
<not counted>,138966,1246350,58680839,<not counted>,<not counted>,36648843,<not counted>,12399306,38441077
<not counted>,135945,1240014,56278956,230806,<not counted>,29311701,<not counted>,20772973,39130044
<not counted>,64911,1066991,30158666,<not counted>,<not counted>,10655830,<not counted>,15018599,23333972
