LLC-prefetches,cache-misses,cache-references,cycles,dtlb_misses_walk_cycles,inst_retired_any_p,instructions,l2_lines_in_any,stalled-cycles-backend,stalled-cycles-frontend
30503253,15027286,149803683,11144388377,346075422,11315180488,11033647510,202380792,3228594932,5757121076
35002893,39029376,101377845,10755193555,80617293,5980157491,5601866990,130038604,5518834396,7771087366
46936418,16301707,168880636,15760259536,343885988,14629927981,14333753355,243964976,6347159563,10019085146
2566359,1793194,38328725,2424840175,79519346,1561039796,1885918334,46533238,1025099359,1562496986
45141466,16577843,151756617,15877953768,348478930,15712999616,15185502277,222525592,6691729541,10587712244
35010740,29500477,107096335,13668483060,173627824,9543735049,10006477815,159885891,6501217394,9579165429
38895625,40280787,109627337,10873177928,86346647,6037285403,6046209766,150465910,5447662302,7801409088
3557151,1812415,40874164,2707394921,76080424,1768827881,2092818788,50168528,1015201431,1520065822
2959830,1662201,37374559,2112347952,81537798,2086530161,1624186349,47390974,852333871,1309028952
3342848,1744164,33233484,2444764010,85187399,1638719568,1733688620,45221513,985678583,1509363256
2669619,1658310,35435059,2467066413,81428416,1641880602,1909994820,44070307,1012549457,1535437249
7848017,2382037,46656903,3078445372,87317862,2479686214,2832067484,59069077,1145898016,1854247420
2509787,1751479,35147616,2305172314,79279398,1641525431,1774639827,43158581,897552754,1452371543
3225447,1629701,37694816,2334302689,77729301,1537444327,1856249838,47579801,879140626,1422039026
2674361,1641439,36771613,2226707642,74036901,1592007182,1824715839,44754402,888061720,1375952731
3745128,1154348,34119325,1677560014,67621201,1355157876,1505061499,47121640,661118472,1020594573
1850215,576880,23527414,1229809214,49552695,664728378,637922428,33975821,624466427,901843237
1993862,657730,25245556,1016567796,45532261,636679515,594786101,35575433,551135791,813121737
3838120,1012000,35482699,2105044889,73579678,1508637147,1857258509,44095197,800787134,1253173003
3105620,1718428,37562885,2116280248,74642876,1480199918,1859220657,47070235,786311164,1162302812
3770927,1536209,35114091,2057009538,81678882,1576004991,1861690048,47702716,810178101,1207176602
2903758,1789839,36606942,1991960465,73702964,1814134810,1664557781,46552660,779191130,1232676993
2978961,1607095,36534009,2068781454,73311854,1720001693,1568574077,48379842,806176669,1238951734
