LLC-prefetches,cache-misses,cache-references,cycles,dtlb_misses_walk_cycles,inst_retired_any_p,instructions,l2_lines_in_any,stalled-cycles-backend,stalled-cycles-frontend
7216200,6720975,37980519,3583089303,56882477,3465035397,3197287181,49252189,1290064465,2007425179
33742810,34134804,86875017,8364346119,57408524,5559266596,5361467315,103162718,3730776859,5593826522
17253274,4844006,50502390,3867264914,97084886,4887358286,4492107378,68967863,925391247,1956803145
<not counted>,47773,274773,29056939,481556,<not counted>,21465290,<not counted>,12028960,17255190
28730134,8399490,58001020,5166405656,175281507,7070173924,6803920411,97663091,1124179121,2626217005
38098471,38761017,79698439,8497850696,3915407,3968691544,3887501568,105424454,4469283611,6422162671
24773064,27838479,59215975,5603348112,26252322,3957997128,3687187856,71713610,2511407872,3694414176
<not counted>,29707,304282,17032739,<not counted>,<not counted>,11799992,<not counted>,5911077,10487572
<not counted>,35345,342817,13507642,<not counted>,<not counted>,7097731,<not counted>,<not counted>,9340367
<not counted>,43469,359315,19908810,<not counted>,<not counted>,14737482,<not counted>,8982148,12109926
<not counted>,38706,360633,15229489,<not counted>,<not counted>,8272523,<not counted>,<not counted>,10400764
<not counted>,38736,323093,13557109,<not counted>,<not counted>,6409087,<not counted>,5369934,9756228
<not counted>,43433,438126,38293941,1191992,<not counted>,32126806,<not counted>,10494113,19997059
<not counted>,36116,372949,18928569,310156,<not counted>,11114730,<not counted>,8415698,12574395
<not counted>,31725,343881,16184137,<not counted>,<not counted>,11255545,<not counted>,4443888,9983792
<not counted>,25339,290146,9319712,<not counted>,<not counted>,4630044,<not counted>,<not counted>,6664292
<not counted>,61759,365243,23726262,<not counted>,<not counted>,16489186,<not counted>,9514534,14561941
<not counted>,19958,243254,8012274,<not counted>,<not counted>,3041744,<not counted>,3101628,6108107
<not counted>,19718,285722,7905758,<not counted>,<not counted>,3146722,<not counted>,2845637,5947305
<not counted>,26740,313098,9439452,<not counted>,<not counted>,3866903,<not counted>,3960123,7051986
<not counted>,23701,299041,8566842,<not counted>,<not counted>,3325562,<not counted>,2277499,6488196
<not counted>,25289,285626,8161202,<not counted>,<not counted>,3138876,<not counted>,<not counted>,6212408
<not counted>,60220,397537,19021248,<not counted>,<not counted>,10871291,<not counted>,8131543,12726840
<not counted>,38003,316587,10777848,<not counted>,<not counted>,4337704,<not counted>,<not counted>,8099136
