LLC-prefetches,cache-misses,cache-references,cycles,dtlb_misses_walk_cycles,inst_retired_any_p,instructions,l2_lines_in_any,stalled-cycles-backend,stalled-cycles-frontend
10473846,10775923,56444610,4864428467,110702324,4409213374,4389296220,63413787,1601401590,2718246053
39226368,37538111,85680907,8401068427,38612911,4740053206,4797760530,116052496,3934189348,5826168725
22909746,5812073,27617342,3522727740,117508724,6077251787,5458742397,50866686,509307669,1739520942
10377,44061,1005660,33754033,<not counted>,6501907,11585382,1246859,15935500,25486706
33827206,8996535,44945188,4992955053,158640729,7938714806,7623970953,79154955,803167959,2304840548
23383971,40579924,49252122,8536541527,3843490,4093568841,4013940983,63157726,4420427820,6394748914
3833639,2159053,13644315,1446840268,22888923,1751604846,1480482657,16676239,392830987,667983116
<not counted>,70248,1347903,52252629,354745,<not counted>,29125901,<not counted>,22020930,34641995
<not counted>,36218,1021356,34728951,<not counted>,<not counted>,13404898,<not counted>,17493159,25786964
<not counted>,73348,1171625,45226577,510656,<not counted>,22121475,<not counted>,21019556,31919752
<not counted>,105276,812203,72212263,847858,<not counted>,50643644,<not counted>,24332001,43501267
256965,170381,2455583,82728488,451606,77347601,45090227,727180,27972548,54285935
257,73311,1145118,53441473,804147,4139556,26904711,167082,23202313,35893731
<not counted>,76573,1316899,47016266,<not counted>,<not counted>,24081915,<not counted>,20133382,32399813
<not counted>,33327,1242995,32712108,<not counted>,<not counted>,12389991,<not counted>,23095841,24465476
<not counted>,57879,900895,31008436,<not counted>,<not counted>,12214886,<not counted>,15488753,23263342
<not counted>,60244,1164442,40675001,<not counted>,<not counted>,21155536,<not counted>,18572387,28086689
<not counted>,49471,699271,30329559,<not counted>,<not counted>,12344610,<not counted>,14846239,22433316
131,65136,1134255,35394012,19183,266132,15395061,45436,17983064,25880748
<not counted>,99019,588684,43174817,1760638,<not counted>,21240073,<not counted>,20762544,30829646
<not counted>,54103,1027661,26881858,<not counted>,<not counted>,9797860,<not counted>,<not counted>,20513987
<not counted>,61967,1051270,32812347,<not counted>,<not counted>,15484016,<not counted>,23884084,23466251
<not counted>,118340,539426,64735063,1347148,42116978,38602093,<not counted>,24301235,42058232
