LLC-prefetches,cache-misses,cache-references,cycles,dtlb_misses_walk_cycles,inst_retired_any_p,instructions,l2_lines_in_any,stalled-cycles-backend,stalled-cycles-frontend
30372482,15946232,144154038,11459781340,326398620,10912093641,11178461555,194710230,3515576189,6063028933
37965937,45483557,108726297,10677096012,79044679,5521572130,5810834844,133208470,5330806663,7675041632
56866094,12419113,132910234,13373143116,182678022,17199107683,16831006819,194119828,3918271181,7134469274
25963383,42223023,75328473,10062274383,66715590,5564313938,5012565887,106179432,5235799697,7509134294
63595531,12293974,172462629,11983668551,151511782,12201405833,12310069832,233301062,4520373644,7401351422
36682872,33811536,84578756,9791002822,57911925,4926217767,4611347748,144342513,5082122003,7281658769
70260246,14112987,157618202,11416447149,180440751,12885474837,12896505154,249711689,3967372463,6837848866
67751715,14807153,164553655,12639355902,172555768,15197207701,14796040206,235121822,4218117593,7250887035
3050895,13014573,81653672,11017052183,308374394,18713948932,18447297056,81425592,2388187357,4632359447
3359402,14460617,82230666,11200934554,314244776,18309393029,18062977897,79426084,2247998842,4778985685
4040210,15558138,65642395,12815316412,354344803,18363529288,18635536336,77802884,3322389579,6152237002
3470498,16188958,82997030,11343806158,332907880,17899817892,18078541554,82883554,2246238792,4900493015
32951074,11764253,68425932,11188938832,243276676,19491983874,19849586555,101355001,1728653023,4159462300
2932551,13333937,81924502,10995058502,331057766,18352392653,18086942684,82033578,2131412505,4588558488
2652624,15935964,77676281,12398014568,323861678,18336521714,18003004540,80331050,3277012355,5868106484
2210401,11188885,75680696,11343102523,442876552,18254435392,18229133712,83599969,2326357337,4815683465
2641695,11767761,80210948,11389638498,362127425,18158157707,18477225322,80661529,2455021300,4983958906
9309462,11707866,94520012,11290519070,344169839,16745053584,17337935038,106937416,2497858747,4999349501
33753880,39261915,83690707,11633300298,73350672,5932786948,6213753276,128516687,5770905332,8309370499
50186459,28300547,162967297,13228834614,268381515,14424585771,14544249798,235744318,4837434683,8169966149
50227650,33164312,178491119,11686624286,217820092,13874385850,13421380823,227539440,4191142909,6968274571
