LLC-prefetches,cache-misses,cache-references,cycles,dtlb_misses_walk_cycles,inst_retired_any_p,instructions,l2_lines_in_any,stalled-cycles-backend,stalled-cycles-frontend
10326834,9726226,50740458,4575255193,110221140,4226064042,4337859714,61317500,1449640630,2472568963
35139306,39079879,71905897,8386035634,15606753,4385830578,4293917391,104694213,4144749245,6127030494
24302555,5981590,28415991,3915944215,239621366,5909044048,6023960210,55385936,633603543,1909459013
27856989,7531447,43761899,4738620480,229483361,6788523670,6772225484,75544772,780552788,2217052140
<not counted>,59676,419716,21703811,621128,<not counted>,11304244,<not counted>,10065255,14921595
36634773,36512637,74579830,8490793635,2656741,3973989232,3879492570,104558225,4307593153,6416848250
17595174,15505188,39997580,4313653555,53989074,3975030061,3717957063,57310763,1526992989,2488871218
227138,149609,1358469,69633990,664900,114187633,48105935,677338,21619322,40351927
<not counted>,38025,420781,18396259,<not counted>,<not counted>,10610987,<not counted>,7127104,12418518
<not counted>,58274,433834,37493693,771844,<not counted>,27821914,<not counted>,12635188,22064062
<not counted>,51619,383969,24061945,1032234,<not counted>,14665576,<not counted>,9329763,15731103
238804,134369,1511133,57086707,392592,72988586,36180884,668896,18324963,34816950
<not counted>,72042,491388,50408762,656446,<not counted>,41213399,<not counted>,16316581,26890295
<not counted>,67566,360441,22698773,<not counted>,<not counted>,13761549,<not counted>,8571439,15235020
<not counted>,77257,347301,24857760,839364,<not counted>,16670531,<not counted>,10342138,15797975
<not counted>,37260,316680,14615698,<not counted>,<not counted>,7600022,<not counted>,4897924,10246347
<not counted>,63127,350233,21896811,<not counted>,<not counted>,13025563,<not counted>,10203721,14560052
<not counted>,16461,214416,8658868,438629,<not counted>,3445294,<not counted>,4206910,6670646
<not counted>,50565,258695,15790551,<not counted>,<not counted>,8586143,<not counted>,5232765,10927433
<not counted>,76913,514347,21496662,<not counted>,<not counted>,11411321,<not counted>,<not counted>,14966117
<not counted>,28924,296901,11275692,160033,<not counted>,5496839,<not counted>,4308177,8249531
<not counted>,51408,389414,22012202,223655,<not counted>,14326642,<not counted>,8441191,14000754
<not counted>,87924,418516,40592142,675165,37254679,23843705,531237,14183554,27316890
<not counted>,51048,335174,12341999,163469,<not counted>,4861146,<not counted>,4892044,9474057
