LLC-prefetches,cache-misses,cache-references,cycles,dtlb_misses_walk_cycles,inst_retired_any_p,instructions,l2_lines_in_any,stalled-cycles-backend,stalled-cycles-frontend
33418005,15883769,152196464,11122439637,327939554,11353153494,10824936557,205091196,3218446981,5749144670
45239551,36576587,104920352,10858996463,88801229,6372445341,5768006488,170402023,5592667205,7802700702
36585823,10656312,146110260,13187965788,398762970,12128099432,11505647573,206505101,5580294925,8509419564
2163593,766037,28257044,1649299112,57074519,735074273,1025397306,36048908,727048302,1207495947
1842805,614045,24692404,1023852283,44359061,370944907,632058227,33232676,586671431,839338780
2957916,1226419,27890315,1612818379,67312862,1342000981,997033665,40509048,739608866,1092374821
2469537,1637566,35424247,2217716856,75412050,1455687858,1490466723,45476398,940193237,1383742346
27859187,9016078,88157257,8673780788,341471825,8988075673,9229117929,131575553,3195331956,5501647564
38378369,47337971,110739115,11106882660,81732571,5938963286,5710748720,139923325,5639752516,8060921963
24431765,15985148,102093853,7739642083,166226641,7630316767,7069694892,143970070,2893287133,4537871839
3065704,1621628,37596808,2345083213,76440890,1628647739,1788105991,45294887,884445842,1359476962
2726984,1734472,36927825,2366324445,71962369,1664228564,1846719922,43697352,781966716,1260808666
3366827,1370564,34089413,1935377848,87733442,1942970446,1530280529,50601486,846142715,1222703685
2489555,1608469,37058909,2338302929,76377170,1553749352,1557953872,44866330,920712749,1401197303
3136385,1769132,36246461,2284398095,79061298,1599510187,1775955944,45571531,884361486,1434049281
3363484,1559476,33723533,2879615042,79486450,1931275132,1870584365,48220398,1330201673,1867249722
3010435,1352112,34621447,2370436170,82226114,1513138021,1697549375,44456058,956837298,1448139563
3238318,1926903,35160757,2225516763,74444193,1665667873,1746289548,43698905,816741834,1376111331
3717412,1629681,38303627,2048085019,81711858,1736512289,1802140718,49988927,777261169,1184783844
2726490,1299603,32381017,2103390668,76770797,1798988774,1552306990,42158644,884473898,1373624712
2969690,1640347,32816274,2417773615,76445072,1583743111,1906290590,43366016,988928570,1522054112
3409460,1997745,36978846,2199526504,72713420,1502770182,1852769027,48024752,769457228,1199400724
2760999,1560080,33258137,1965857412,74251372,1811645590,1534495674,45420929,808841893,1268357083
3409019,1555408,33206142,2168236893,80568958,1577719931,1599622862,47570747,906572133,1354651044
2244798,1424033,32045157,1865814439,59490134,1164084861,1332605608,36745905,702286651,1235602662
2484200,640055,24732762,1140254611,51745891,1066979909,719752681,39492436,543294445,771418917
1660498,670004,22006541,1175795271,48019971,389065982,369776012,32324871,673166584,910987513
