LLC-prefetches,cache-misses,cache-references,cycles,dtlb_misses_walk_cycles,inst_retired_any_p,instructions,l2_lines_in_any,stalled-cycles-backend,stalled-cycles-frontend
10516893,9441188,51154177,4622896195,113101719,4482893427,4294400259,69216209,1416604819,2463705024
36621515,38233971,78295056,8242215469,8213511,3942467325,4003545943,108213595,4333724911,6043415138
44027936,15486663,62080469,8106192838,195217599,10864087831,10561365581,114196044,2203048125,4192543070
42505111,42040193,79648982,8551257286,2800394,4069368103,4134477904,104311251,4320329771,6393798117
38116591,32513234,74786112,8185272960,29510533,5597548435,5685662873,96201454,3786951978,5634755418
39568424,37189479,75943029,8590840908,2976395,3954422483,3934685189,98145692,4450084476,6453676142
30019283,31951594,53263695,8138408074,20494238,5258106928,4946589462,80053431,3880123560,5858141045
42686703,9621206,12253996,9079621395,87812605,18732864588,18554727448,55546432,1332989063,2702553569
121299,10911025,39847563,9107400948,347872407,16331996921,16292152391,39135571,1907647466,3494880490
189671,11718013,39399126,9158260943,343500528,16351812580,16346018248,42218696,1922478019,3497720396
140426,9761335,42799582,9123897223,408366993,16801314408,16493561534,41289668,1731496428,3320248995
138860,14660246,40723749,9149056535,358542921,16709683092,15661486016,39156111,2045773184,3617098843
183219,9211634,41457648,9069711644,346799921,16448461481,16618200477,39798095,1719483884,3259200004
6609421,13840611,35585439,9137296104,267513886,16795158516,16336085075,40712515,1959435943,3401722184
3108504,17138707,31428386,9148711629,230302994,15682969830,15696287494,35414928,2226666876,3778237530
347769,14701188,37673783,9166377591,359087257,15924242663,15811544075,37360922,2147840130,3687744849
132098,8041614,43847583,9121273011,381852360,16577604951,16756507577,44621224,1812513811,3278154324
37897101,22475515,100567224,8555300364,233792427,9887715985,9885964934,142322194,2378354421,4365038529
33112671,36513978,69488777,8617519022,2863331,4011145352,3955981142,88278398,4480400863,6498417376
38992971,34165501,68235778,7444409975,97552724,8828996658,8897598060,97495839,2505469364,4207857151
44027854,25651058,91409504,7849373207,209986519,11033977339,10609490344,145345042,2220304888,4241867369
