LLC-prefetches,cache-misses,cache-references,cycles,dtlb_misses_walk_cycles,inst_retired_any_p,instructions,l2_lines_in_any,stalled-cycles-backend,stalled-cycles-frontend
34949422,17301542,152738843,11398218299,330074216,10753420548,11211156249,208066890,3308755024,6045619671
39589100,37999831,106814616,10678342029,78723873,5969319803,5583716626,143431613,5241494447,7657146059
64824638,12701440,134014034,15555386796,201530316,18616463503,18151439873,200954489,5301669558,8984086210
27112961,49051660,85338871,10961006087,85981466,5789809566,5775640290,99987401,5560006758,7909756059
61012768,16281821,111014563,15422268768,154022782,16789586924,16900530578,189858768,5420832905,9107249722
41088390,39110531,102998107,10649897932,74155880,5738053542,5837167805,138697470,5256532494,7722316095
65286158,23327477,180735182,17313989748,175765533,15348473837,14682193633,241615923,7841628400,11425691520
60701968,12088720,145845765,14870036857,185533511,15941696572,15789524028,205906742,5518406116,8616717291
3489760,14174529,79804117,11309265403,372619881,17803464396,18123364868,80873429,2215208274,4919717022
2545410,13721068,72735594,11384002774,484184963,17897265249,18123293366,78096240,2274680037,4960279265
2937329,17575888,68737784,11383892545,378771420,17431391695,17721942225,76378777,2296147646,5176053960
6500703,11273707,85817914,11619397988,404344594,18312550568,18614133419,86623204,2325825256,5158212514
3888120,12037317,74126458,11323538609,477757709,18093332711,18221655197,82676352,2115652083,4920856099
3599612,13687496,80669685,11525133435,369022354,17994888913,18400421876,80263835,2263425268,5167259309
5513117,21999193,69862095,11370983916,241339737,16803926388,16941817327,71134063,2160213324,5259914435
3352150,13345248,72393202,11498729487,491921558,17785357254,18022957945,80097160,2324015065,5127209716
3114821,14033957,74698533,11425341436,489077730,17877806354,18073543087,82904504,2157525622,5015269399
29775990,39373903,104415049,10725456709,135452980,8114551637,8116640507,127307405,4554900151,6982495651
40797620,31667176,119240848,10494873931,165027411,9141506176,8854949451,177004596,4491819358,7013989127
48925211,22561586,154401934,9609950901,191492787,11722020658,11770117058,206218938,3924362256,6704725568
54642840,25339551,156308330,12176122657,278671248,14184896635,13753743609,235484241,4539512893,7788165251
