LLC-prefetches,cache-misses,cache-references,cycles,dtlb_misses_walk_cycles,inst_retired_any_p,instructions,l2_lines_in_any,stalled-cycles-backend,stalled-cycles-frontend
11244473,10225326,49267943,4919426138,123689130,4628766259,4388980801,64524220,1560173158,2723759019
35620586,38945575,79187585,8463680959,14816648,4339806206,4400373239,104452167,4184007429,6143845308
15982913,6844855,25163558,3165025508,50477059,5119470083,4995194113,39653103,428274949,1425151776
19642374,7402609,44189267,4004141269,82741231,6061651845,5935550044,65844354,734127709,1938970611
<not counted>,36056,483698,17008022,<not counted>,<not counted>,8767453,<not counted>,<not counted>,11773545
39717931,41793228,81440874,8526096945,2832717,3955749754,3926135962,101658799,4337509189,6443822837
<not counted>,22381,311745,18773862,316213,<not counted>,11129626,<not counted>,8513854,12179239
<not counted>,47861,419407,21186145,<not counted>,<not counted>,13456666,<not counted>,9009544,13576143
<not counted>,39327,403894,18549526,<not counted>,<not counted>,10950145,<not counted>,7256210,12283785
<not counted>,78378,374431,35672633,704614,<not counted>,26878488,<not counted>,11679272,20876190
<not counted>,53164,308411,41940873,411409,<not counted>,37977175,<not counted>,11167535,20900715
<not counted>,51118,461260,22816441,<not counted>,<not counted>,14337695,<not counted>,<not counted>,14578076
<not counted>,78178,378002,42514956,520205,<not counted>,34426299,<not counted>,13374409,23010381
<not counted>,28434,298949,11206385,244977,<not counted>,5242079,<not counted>,4085172,8048401
<not counted>,25715,318802,14950687,<not counted>,<not counted>,10228890,<not counted>,7813443,9245010
<not counted>,29027,272855,9788387,<not counted>,<not counted>,3678689,<not counted>,6930888,7451591
<not counted>,52300,363976,18935674,<not counted>,<not counted>,11617655,<not counted>,8338123,12310614
<not counted>,15418,262010,8093988,<not counted>,<not counted>,3518551,<not counted>,<not counted>,5892625
<not counted>,45886,281817,25794625,579508,<not counted>,17115092,<not counted>,10561638,16346581
<not counted>,40245,414387,16310350,<not counted>,<not counted>,8548690,<not counted>,<not counted>,11313814
<not counted>,9916,260136,6347464,<not counted>,<not counted>,2136793,<not counted>,<not counted>,4860104
<not counted>,24048,309124,12915824,<not counted>,<not counted>,8277193,<not counted>,8649394,8153466
