LLC-prefetches,cache-misses,cache-references,cycles,dtlb_misses_walk_cycles,inst_retired_any_p,instructions,l2_lines_in_any,stalled-cycles-backend,stalled-cycles-frontend
33196941,16643681,154602065,11380543960,332864139,11004768030,11107702187,208178385,3328733198,6033043114
36508052,33907032,96773451,10695672037,81266200,5659551421,5975967276,137663388,5062320252,7643217332
73054100,14710707,149620863,15423124421,200187819,18413829612,18010061128,223018900,5206188683,8696873975
31102787,46343987,92136317,10751309284,83237327,6133708041,5798424790,116883161,5494530873,7762730024
80031539,13332540,184637476,14797880836,184387437,14632138957,13966082100,257920551,5795506382,9248544311
38011271,45442428,108147092,10637251998,87670161,6014856999,5569258627,143004557,5626654776,7906006315
81406991,13890009,179542537,15266454317,184447597,14310104407,14187619535,254766804,6029976795,9577585716
54066206,9729887,77708068,11770914032,124224120,19956996967,20160949972,143426855,2262369026,4723981458
4979062,17306758,63840868,11342005285,330789901,17230173981,17626045537,75086008,2638914367,5227626800
3288303,12902795,73205465,11351208982,497908206,18068061742,18080816753,82548263,2722965558,5110459315
12717377,10560050,72366865,11338269886,452807650,18692423984,19159011721,89710766,2107877459,4520805870
4141179,15085766,72484800,11139264959,422069445,17582674005,17881897649,84706987,2621958042,4824500401
3288080,16394955,72463893,11000511543,420205264,17508408946,17211478034,83722004,2856501415,4932753491
2929364,12118828,76000730,10999565237,494667906,18301757850,17770155218,85486000,2500745290,4755899111
3028731,13097241,70979788,11230742890,449464193,18092841958,17754821402,80086366,2631659664,5070465619
3016571,13819438,69241648,11315084112,456910095,17473271326,17807190658,81111670,2638521778,5109297145
3089575,11712715,72880093,11311916733,491883705,17877671760,18125784942,84029533,2569325376,5002804224
29763918,37704583,100799141,13231007152,162314620,9296366051,9219751953,136225674,6137465278,8996185480
47114323,43840710,141533920,11714691726,172013236,9618311244,9373299204,185718929,5419616829,8150728583
50598920,27719159,147329177,12848284411,239175427,14180995365,13645718678,219650916,5167284137,8395349237
