LLC-prefetches,cache-misses,cache-references,cycles,dtlb_misses_walk_cycles,inst_retired_any_p,instructions,l2_lines_in_any,stalled-cycles-backend,stalled-cycles-frontend
16624744,6434361,108245038,8828657210,162914252,8700368900,8572895493,153763119,2596538320,4355129791
19970384,9706662,54089035,5170731431,103010338,5572223796,5559675936,75989180,1416335168,2488823016
795377,726010,4425658,433337025,5578778,367598308,391033327,4085474,115797216,195233138
396207,478115,1875296,242571166,3837072,238558263,213261984,2051834,81202317,126774249
176997,209358,871749,104599683,2179264,88739629,79338931,1695224,37511392,53443502
<not counted>,119148,329953,106174706,2228842,<not counted>,87068967,<not counted>,35109748,58377457
357530,232884,1550504,168271909,3315243,165382294,127731018,2370418,56443364,107998494
223502,238812,1180523,141700845,2021159,131405530,119257332,1009826,33217047,74843920
<not counted>,122811,260284,58522270,1697925,36778194,33679817,807607,26481859,39251740
8922799,4333651,21497300,1684586062,44755430,1863923018,1749390962,27636955,434273218,861937721
7799899,2931555,18006325,1338194305,48121094,1536520509,1357664944,27406410,374851108,704042742
457214,220861,1581307,125086136,2079663,145065241,110980749,1433221,36029750,67437982
<not counted>,72266,147083,30768069,1038748,<not counted>,20467591,<not counted>,11221373,18131760
<not counted>,54351,142047,16540512,<not counted>,<not counted>,10792368,<not counted>,7900789,10456705
<not counted>,108038,260388,91841957,800578,89000140,48360854,<not counted>,19629961,37025416
<not counted>,81015,113410,31299330,169947,6793668,20928884,<not counted>,9175976,16596624
<not counted>,84441,191603,21654902,<not counted>,<not counted>,14600013,<not counted>,8311446,13728733
<not counted>,148226,413409,38082541,<not counted>,<not counted>,27665067,<not counted>,<not counted>,23373946
