LLC-prefetches,cache-misses,cache-references,cycles,dtlb_misses_walk_cycles,inst_retired_any_p,instructions,l2_lines_in_any,stalled-cycles-backend,stalled-cycles-frontend
35013213,22031812,167442092,11350238868,268842757,10967403907,10986497618,190198517,3362464070,6067880505
24964704,18082996,151840315,11553113244,308535069,10580308264,10751428228,196364072,3742910401,6218071720
20046246,12580779,136705139,10962010279,295289882,10020650860,10041733943,183622819,3433326834,5820412991
21598015,13212326,144739270,11305920872,293107492,10610702965,10412876257,189885695,3632617430,6000149363
19483642,12021124,133329115,10482329359,266543296,9810663720,9734198369,183713229,3373914926,5608739040
20753099,12290123,158730339,10713562786,219255309,9670359055,9611043719,181888069,3418531732,5684097239
18722060,9689962,125031700,10016935945,243317497,8742390606,9190981638,170443616,3141607324,5288879723
19952829,14284361,134476186,10651554910,281601600,9449562496,9799248389,179185758,3478773623,5734301739
19865720,13641404,135409154,10785394629,304992736,9758140019,10204779741,184439696,3430063762,5729659394
28815576,14789836,136110424,11212276552,279364761,10743042679,10852072535,185855408,3441204516,5848216017
21118920,11948497,143442664,11118020534,293647873,10941717061,10493734593,191126813,3564039068,5839876352
30103711,11182124,91681561,11075926736,177945663,14830704216,14709000409,134619929,2469315321,4388791494
27811983,13044281,99216752,11378006223,189527932,15249548744,15598190947,137584444,2554820052,4539901284
37937766,35798752,145121723,12354212381,199361836,13565043752,13881087750,174141647,3622442280,6013507682
34595567,16957464,142026249,13200811832,295765256,12728128483,13314072927,198495915,4498039416,7334197357
31801157,17659522,119364084,11533685261,229185527,14189084152,14372592216,167522940,3064546400,5536268169
45464116,33290581,151997851,13208180571,274905426,14135548647,13789545823,212884705,4836689984,7884502381
33753248,15468560,107606848,12788880897,183639225,17102329354,16555224524,152948522,3763148066,6252525197
41366778,32858773,132787313,13700460845,185139582,14912963098,14898127125,187175454,5031000687,8178106655
37145037,41627800,102679067,11096195265,162985335,15248870155,14767020939,143340060,2826491343,5203300356
31137709,19249365,105526808,12686273759,170987431,15346960506,15627291917,150259488,3980840675,6540168690
