LLC-prefetches,cache-misses,cache-references,cycles,dtlb_misses_walk_cycles,inst_retired_any_p,instructions,l2_lines_in_any,stalled-cycles-backend,stalled-cycles-frontend
35389743,21524946,139267897,10727961868,319108276,10196158173,10489035090,197595161,3234906496,5690172554
23876730,17703379,141243183,11587736069,324536822,10641137566,10739626408,189779546,3773241828,6223585589
20974287,13834234,137506180,10705722124,313838264,10220846514,9881437847,184457552,3408553706,5757434147
23020335,13635507,142471384,11301779865,271163801,11141754036,10547034795,197033026,3698462724,5918699971
19318180,11954924,143753031,10688878345,294735923,10189800864,9993545559,187058510,3308034665,5590303858
21491416,14387550,147659068,11338984034,287534715,10555991494,10693414673,193845685,3454764510,5814777283
19823032,12372736,163387324,11058286100,230279394,9951552259,10391130502,185361242,3291018455,5741121198
21649579,13744249,144707291,11379040218,302123033,10532343096,10568229622,189100110,3659819167,6114750322
20718561,13494181,140631910,10973704908,294063144,9952141568,10167598235,182150285,3390028416,5754986360
27565383,15299169,161443747,11565980655,261784401,11383669750,11045760910,189999811,3651195783,6173026142
21550009,12358346,142999669,11099853429,277371748,11000430808,10411563462,191688421,3552868329,5785345013
19929490,12721675,140749795,10754991752,285266073,10365466718,10126543773,192465483,3276218378,5558025308
22376527,12964668,147411545,11091339407,264500234,10738484230,10776839844,199817708,3343650439,5685005655
20123281,11490474,139305430,10566145075,291129727,10097919861,10165320911,185853609,3233596563,5471635918
22561362,13913637,145406195,11365646917,266035277,10628624642,10789692201,192086691,3451294859,5781973958
20667742,12383618,140995971,10877851014,281349553,9996765021,10309004991,183433705,3252496469,5686239511
22348313,13315906,166204404,11460435121,243359199,10677139414,10908566384,193050649,3601191386,5970209973
19933305,12442022,142104795,10997444332,281810468,10100216800,10180259531,185932145,3373640138,5727579758
22835225,12084667,139721817,11641644529,296711730,10419316082,10907503398,193131840,3774198131,6147266782
19290282,10612755,134678947,10687959430,270313482,9852093109,10060263695,180537113,3290704969,5611844149
23193232,11514761,133112238,10770878696,227455939,9922612290,10155689385,182260253,3227186664,5412066659
19040462,11014016,128782647,9764316732,249387004,8738122025,9094366084,170793964,2936961457,5000200898
21976005,13210771,137883929,10904002744,254560864,10167247019,9957522612,183985368,3524622860,5812847746
18279548,10384901,136681429,10424208037,255981087,10412057612,9866134664,184155055,3249874863,5364695611
21402603,13718623,134748125,10700909472,294543368,10597115570,10052394613,177236785,3400113048,5656964736
19727154,9536753,141006153,10581755078,251818349,10456760671,10089115478,191664003,3248160504,5350020247
21202284,13562337,139038553,10703979977,289422310,10539415687,10071356061,192852512,3447225558,5640586614
20834128,9413981,135796489,10564063776,237254751,10809133645,10150699362,188340919,3260436630,5449697834
