LLC-prefetches,cache-misses,cache-references,cycles,dtlb_misses_walk_cycles,inst_retired_any_p,instructions,l2_lines_in_any,stalled-cycles-backend,stalled-cycles-frontend
15797960,7607656,109171777,8810929231,164860841,8857489363,8624823029,155426773,2591356505,4354302390
15132143,7982791,53884401,4950431709,100321154,5300792692,5364664888,71732317,1306188679,2347476830
714537,316675,2730096,252516335,3757759,228784245,241883488,3078002,76524142,124443115
795196,447968,1846422,263785661,4196739,286089454,218744035,2835790,86940027,140489589
<not counted>,92378,242265,53784993,1593188,47482178,36017577,816361,22238660,34224103
285116,262054,1025714,127717755,3018124,119640981,93027846,1919634,50365875,79861725
<not counted>,111528,447620,63709678,1575906,<not counted>,43241196,<not counted>,21157686,36506639
452776,335279,1944317,122204878,3059315,150347781,91883244,2288356,46283462,69957499
13219172,5791835,26306007,2193695531,63181154,2455768175,2387836498,38815966,568782057,1075091644
7028579,4326333,21146022,2283374676,46342469,2480721449,2489834622,33475875,579576144,1093627215
89502,101448,1101251,50111508,1849342,48801216,31657973,852700,23103375,34481596
<not counted>,92455,208886,97279104,1553211,98312667,50039810,1439377,31983189,52857293
487016,343353,1526586,180634772,2816546,170823251,188387487,1603380,41303294,87144908
<not counted>,115949,365853,91550295,1895877,99372940,67400890,824475,32980779,52031790
5331401,2588214,14623360,1272679997,32577410,1405574174,1393006124,17669158,316326272,641879617
<not counted>,40054,183044,12215323,<not counted>,<not counted>,7682354,<not counted>,<not counted>,8140176
<not counted>,172183,335296,76968806,1156260,65327744,81063718,<not counted>,24409964,42210844
<not counted>,108976,327432,89902691,1471934,96567390,73391014,<not counted>,26444958,49266083
<not counted>,97927,306873,58631088,1654649,<not counted>,40620242,<not counted>,20934702,33826493
<not counted>,102682,296943,49212248,461696,<not counted>,38104869,<not counted>,15042221,26416217
403819,187049,1078861,122986463,2978772,73808643,116660207,997681,42322365,69649116
<not counted>,134271,210150,46670268,1684126,<not counted>,35923529,<not counted>,17696293,27518433
239521,197814,971063,54547960,856432,105066216,36781245,773719,18607727,32889768
<not counted>,97642,435010,46057925,927782,55490914,37897025,<not counted>,13715852,25678206
<not counted>,714083,543866,222593825,6981605,165043838,166431572,<not counted>,88331469,144177454
<not counted>,93835,317644,42935737,496831,15864967,28615869,175649,16715631,27803191
<not counted>,55250,171778,22129048,<not counted>,<not counted>,17315013,<not counted>,6183148,12469067
<not counted>,85767,180793,42072318,1438447,35136193,28276093,<not counted>,18354374,26955205
<not counted>,76590,320521,61755050,1633427,<not counted>,52393590,<not counted>,17146647,33159418
