LLC-prefetches,cache-misses,cache-references,cycles,dtlb_misses_walk_cycles,inst_retired_any_p,instructions,l2_lines_in_any,stalled-cycles-backend,stalled-cycles-frontend
35884128,21318212,136092064,10734120707,294261497,10027472352,10443486409,185984116,3205498101,5609343616
24995724,16304442,144802128,12071523521,323965311,10476694634,10898093625,193075375,4115439547,6508555874
19975516,12642636,145020359,10781771297,273761240,9836874618,10103141748,187758441,3253543543,5551102888
21996801,12384982,145189146,11496088391,278860936,10397422614,10978268079,192220903,3469606779,5907745034
19800276,13062393,140440180,10947738917,288876359,9950495959,10287947530,185137265,3207204330,5520629556
23012349,12700179,145447207,11415911105,278619135,10476379436,10873135666,194100111,3443592324,5911787607
19487723,10878254,135003812,10849803270,268988631,10023172402,10276901853,180776101,3310793288,5690751841
21622074,13447894,148387484,11490387807,298025697,10560558154,10873165634,191223948,3615523886,6038156837
20420271,14437123,138681966,10910030029,291869156,9938770990,10396049350,186369605,3433810169,5765913774
21400674,11761990,139068320,12188153630,257498644,10957947524,10914199072,184171420,4144724656,6645105270
24533712,16045690,137847641,11310317392,311214393,10505907292,10424329823,187601020,3593039975,6037085333
24042944,11779775,137383017,10949606314,265897716,10321625238,10310805259,188816896,3358141987,5694232817
21712791,13627289,145056595,11290185368,286037425,10847212048,10639409045,186904712,3701160081,6081693156
19907225,10681131,137786131,10542596132,271804618,10203012357,10192661740,189463116,3335832984,5472265320
20289931,14210766,137451367,11105806618,294821480,10890969902,10451702073,188815952,3572559684,5806978971
20751807,12502582,140671816,10659771658,267473314,10315246476,9980963504,187599841,3301964085,5462886960
20894861,11956911,164765378,11086811826,232643875,11022136229,10516548519,196042285,3368637329,5708505571
19295390,11488222,139748285,10649948874,264828192,10475679280,9980334020,183014659,3222765780,5533096336
19983371,13610914,136146884,10565986782,292477036,10321581906,10070463521,186913286,3301228993,5506740414
24846504,12940362,131193810,10369698718,264126194,10428277899,10006108432,179870162,3202681790,5366705362
20000697,10909945,132541769,10442891020,239925834,9943803649,9694522374,176751207,3268625051,5448693728
19380605,12355480,131364381,10376312124,255587705,9084289926,9297629323,176332404,3264915080,5549382840
21362507,14255121,136079455,10912636664,276319428,10055863325,10006473725,183999084,3509121454,5848650126
20422319,10214125,138218274,11097109753,250469430,10203377207,10183480198,184464566,3497747699,5828062351
20756956,12922274,140185521,10773708980,292074912,10225396974,9968401537,185880778,3398733670,5768080807
18596566,8987431,136445036,10582504003,241958283,10668714621,10088576577,183917998,3342971848,5500921323
20980506,13128890,137254206,10500793998,300461085,10269573476,10040379975,192755644,3367369785,5507120510
