LLC-prefetches,cache-misses,cache-references,cycles,dtlb_misses_walk_cycles,inst_retired_any_p,instructions,l2_lines_in_any,stalled-cycles-backend,stalled-cycles-frontend
10464459,5715146,77335618,6238994851,136446102,6339813134,5954301011,108825284,1900639053,3209585674
15285044,7595534,51697320,4575616870,89098513,5080198527,4782053988,68990447,1237309745,2201685706
784450,456485,4135158,334855392,4221445,295156647,341532825,4155450,83578183,162673165
363387,394294,1764405,221080513,5209200,240671743,181750781,2640424,75420440,123977674
<not counted>,69156,96440,56194202,1817797,41813086,25290993,<not counted>,20356755,32791047
187372,217769,1146253,173332066,3969828,145846619,121505273,2970875,56786931,94524403
123491,169240,635811,72540557,1571742,131075263,49416615,428837,26955124,43447662
130571,265394,1054704,115236928,2844901,143943539,74307852,2455861,43861572,71053843
1625119,1161731,7502279,555045594,20261991,601781168,531786754,10649710,161514422,283510332
3113601,1662437,8104415,890448938,16774667,1135598067,1032865837,10146860,218256076,414361929
549037,273194,1858518,220008485,3312813,279780477,197421302,1852221,60290534,106629075
273964,118527,1418306,81225725,1630196,135397567,60883168,982146,28828633,47862695
13832957,7046808,35419595,2790655506,66689250,2988565690,3152259061,46005466,663706275,1361581870
255122,179903,837297,150331527,1598654,167146472,146369279,1017036,38623647,72460604
518370,442639,2209713,314624543,4493990,245510281,325674482,2981735,83559813,141591444
<not counted>,59965,146562,50228960,1731646,38356813,36820382,<not counted>,17108870,28448167
<not counted>,121548,336927,53696019,689185,33778693,37757769,<not counted>,17932669,31081450
<not counted>,140476,413161,95947327,733350,<not counted>,63199310,<not counted>,24381514,49104596
<not counted>,76429,221393,47990075,1431236,17237119,34687368,<not counted>,17344604,28553552
<not counted>,127477,798407,67200368,950580,<not counted>,54711088,<not counted>,18036138,36075473
380577,257879,970079,130719015,2654013,111576017,123978128,814087,41302919,70675153
<not counted>,109679,364777,63725457,1578496,<not counted>,49881813,<not counted>,19370824,34798549
264146,181398,915117,48233553,460335,79269257,31457516,753359,14905981,30392013
239679,735610,850122,186707384,7839964,137851974,137887934,1968196,75639866,121080331
<not counted>,40685,94536,29943515,826629,32761951,20262257,536338,12051446,19535236
<not counted>,65380,179277,34620786,442468,<not counted>,31359841,<not counted>,9239650,17594457
<not counted>,59828,99275,10619095,<not counted>,<not counted>,5456776,<not counted>,4682550,7467086
<not counted>,43472,20196,13833748,<not counted>,<not counted>,10067293,<not counted>,4961582,8366586
