LLC-prefetches,cache-misses,cache-references,cycles,dtlb_misses_walk_cycles,inst_retired_any_p,instructions,l2_lines_in_any,stalled-cycles-backend,stalled-cycles-frontend
37258158,20183052,141530716,11022701569,331044511,11190605342,10848683023,191084539,3410955206,5847708415
22591534,16938513,169380055,11741904154,281309295,10789689232,10480842584,191520896,4198023330,6533804548
18162143,12079783,128009757,10037365824,268361817,8801632228,9204359528,170319227,3202893055,5363562626
20963471,12036427,129479750,10469939871,246083617,9470376930,9553791547,178759510,3418510703,5598675518
19620294,12471128,133060000,10446137389,264760242,9395675532,9477867979,177497805,3213620349,5456303836
21893612,14095781,164313412,11607237089,256269756,10897115119,10604941558,191263688,3864766206,6188637125
20119303,10974533,136998693,10597682003,273377878,10484824617,10051023676,186588371,3262286990,5562785551
21951875,12956611,147205933,11415386938,291274915,10279933334,10933723332,196573015,3444343549,5766162709
20717879,13112295,137424089,11129983549,288060323,10033079677,10354578743,186594169,3436946925,5875870989
27658437,13313328,137665078,11311577213,261941285,11034333479,10914711978,190764953,3436086145,5846864035
21899270,14403231,141064353,11055182501,311821375,10892426019,10379874266,185193706,3586739992,5953344778
19936570,10936084,140071927,10694795801,246111850,10616020758,10177617050,185412001,3223196142,5474177597
20186583,16362267,144975427,11332663095,299380169,10263035024,10856270216,187998566,3352118227,5859023142
20314268,9724544,136716390,11078893588,250925693,10082674096,10383849948,189427667,3507039335,5796135434
21071051,13882265,137030164,10633713310,291434710,10482430181,9837352713,185439064,3437495955,5677595620
19019421,9255289,141930440,11418903447,241521565,10872294583,10281553459,187483987,3726794894,6036413740
21032343,14496050,140846355,10963862311,308642148,10040026015,10289875325,182627423,3350134318,5801714569
20917190,12052838,144049961,11265285395,234158697,10474026616,10774308310,193704208,3552383224,5871741612
20697397,13588384,141767956,13846666437,300959003,10708240721,11010847130,190209405,5413207461,8181486235
22494701,11817895,138140110,11100686788,241630328,11293984381,10801189773,190249795,3524708590,5717904940
21035724,15522335,138036165,10712555996,299411658,10601794523,10110408410,186734598,3363229277,5715441137
20312585,10050241,144190974,10948228652,221937330,10134428153,10759327627,190325249,3275753255,5462509839
22079955,14098969,141992465,14745174930,283754687,11194603439,11488592605,186922008,5721358535,8536542414
20682918,11002810,141188442,11186265798,237005992,10360753169,10842713739,191355558,3389825229,5616209766
20577698,13588624,126518057,9971013164,268780498,9946248308,9330935659,173938402,3128444560,5260565926
19635428,10551504,128667106,9931585521,223345394,9605402265,9506366097,177336173,3185459004,5179235456
20093959,13412028,131506726,10132225680,271036190,9964403764,9529068465,175854576,3110495222,5284633841
