LLC-prefetches,cache-misses,cache-references,cycles,dtlb_misses_walk_cycles,inst_retired_any_p,instructions,l2_lines_in_any,stalled-cycles-backend,stalled-cycles-frontend
17016695,6243035,108571139,8743540299,156112254,8901037511,8437237742,146592422,2604081039,4336719119
16005921,9162504,55834518,5035430314,99718323,5561766578,5439624225,70496886,1341004224,2419275376
784030,381146,3056119,226009054,2636963,200490399,217938186,3014268,59387981,100423519
684825,410731,2641209,277677060,6596930,292012940,205493207,4265196,56747238,109804563
<not counted>,49995,806466,68067826,1624638,<not counted>,30076870,<not counted>,26556080,41949014
209695,269841,1729892,137273722,2394244,79872241,110781280,1419523,32020660,73964193
70560,76320,561024,62245071,1985873,80405050,38500439,910207,28732356,41967637
198041,96331,1092733,102378946,3050988,135905871,64992109,2227849,45336908,64766336
9587688,4489500,22015479,2084704354,62114714,2297596671,2267385127,32867465,552586109,1078822181
6826176,4651655,24280255,2334897495,52662752,2330087740,2517084548,32688510,572080624,1078480521
325148,257021,1083196,224337952,4004887,166224981,196693125,832809,58062860,102255730
<not counted>,43726,154104,40378436,692440,63427084,28917594,847188,14435022,22810146
7743817,3105413,21645353,1577276903,36901657,1887996376,1682713334,25773009,384469115,789173308
<not counted>,83298,214256,88469535,1895898,63426372,69969921,<not counted>,27991179,47848751
629199,311803,1635706,229682221,4199581,253547880,212224759,1518158,64219578,112759878
<not counted>,488999,1592888,146491045,1808843,75783942,104748923,722068,54537593,92170865
4137916,676838,8115294,700214083,13671106,881909730,796340782,10307109,156830249,321891277
138243,110832,982425,91403078,2354396,118230763,62873524,1838868,35035964,57748932
<not counted>,97786,257606,53217628,1136689,46951256,35512703,<not counted>,18257561,32046117
<not counted>,89567,301374,31280788,<not counted>,<not counted>,23235932,<not counted>,9192867,18107711
581744,219354,1342941,121526354,3845205,138258871,106683866,1615425,46206705,75245177
<not counted>,66659,122466,59021155,1572179,58022027,43526839,<not counted>,19431866,33067529
299004,199877,1050720,132435431,1471839,145153935,108998361,1581569,32886312,73161117
<not counted>,968001,487718,210624918,4674534,<not counted>,144807395,<not counted>,89141597,131928208
291165,136055,941710,136680684,2069463,132163214,143194129,754616,33667481,64016195
<not counted>,80977,267807,29388531,<not counted>,<not counted>,22416327,<not counted>,8842678,17045708
1441506,407191,3483917,373191593,4749895,446388772,416889930,4243096,78108304,161256195
3823512,2263330,10857060,904229628,24525656,1046561815,981275450,11177288,227847199,455963534
10181512,1552342,15481226,705946984,10780195,948140867,920897630,19536056,122270427,308016772
