LLC-prefetches,cache-misses,cache-references,cycles,dtlb_misses_walk_cycles,inst_retired_any_p,instructions,l2_lines_in_any,stalled-cycles-backend,stalled-cycles-frontend
7421956,7540080,38734226,4001001455,60658399,3713685312,3436805433,47880779,1414292617,2229079511
33830298,31501332,78416833,8522625610,53615876,5437585039,5605212666,112617474,3659475316,5599660343
23379040,9554299,59677052,5600579679,201306763,7224159504,6904973170,93418559,1313789416,2871939183
<not counted>,425221,4108825,194001913,6147123,<not counted>,200461592,<not counted>,33122204,120381430
<not counted>,100403,1622545,62136702,<not counted>,<not counted>,35817525,<not counted>,22486817,41013493
22158102,8792362,47839339,4630594747,159058087,6527980111,5996640964,72849205,1032460593,2432767914
<not counted>,51514,1362636,43716377,220082,<not counted>,19382154,<not counted>,23655275,31552166
20841466,42837864,48975697,8486771700,3420888,4107389139,4053020488,61992217,4452388322,6379028680
<not counted>,75978,622053,46038347,2055013,624747,21756416,125168,18299703,32682914
<not counted>,83909,1359100,43675603,<not counted>,<not counted>,19594098,<not counted>,20361831,31632299
<not counted>,121699,1046533,52247480,<not counted>,<not counted>,25399856,<not counted>,20546067,36883845
<not counted>,62224,1354941,36875458,<not counted>,<not counted>,14163132,<not counted>,<not counted>,27722568
<not counted>,96445,1405389,49900641,236437,<not counted>,25207153,<not counted>,19565080,34931956
123462,167617,2159241,74302063,3128678,82509668,40149058,1023540,29321593,49216412
2551,79765,1024108,38940171,<not counted>,<not counted>,14812007,<not counted>,18203756,29415455
<not counted>,63474,1145149,30706534,<not counted>,<not counted>,11321712,<not counted>,10916016,23649918
<not counted>,142199,1206292,60854547,339879,<not counted>,34771022,<not counted>,17381298,40357524
<not counted>,49066,743961,30283438,<not counted>,<not counted>,12180921,<not counted>,13523044,22853084
<not counted>,64817,1043264,29541408,<not counted>,<not counted>,11293030,<not counted>,10594556,22562491
<not counted>,87998,1251384,41711067,<not counted>,<not counted>,20449270,<not counted>,12858473,29270298
<not counted>,65569,1153099,30754167,<not counted>,<not counted>,12103364,<not counted>,<not counted>,23366769
<not counted>,59458,1102729,32547968,<not counted>,<not counted>,13473387,<not counted>,14648394,24347348
<not counted>,83020,1186801,33853473,<not counted>,<not counted>,13630872,<not counted>,21089232,25584637
<not counted>,69584,1184589,33632181,<not counted>,<not counted>,14309299,<not counted>,<not counted>,25103297
<not counted>,60277,1141973,31282476,<not counted>,<not counted>,11994572,<not counted>,14866250,23799610
