LLC-prefetches,cache-misses,cache-references,cycles,dtlb_misses_walk_cycles,inst_retired_any_p,instructions,l2_lines_in_any,stalled-cycles-backend,stalled-cycles-frontend
485925315,204193680,347613890,49718475098,393818390,31211173585,31350056532,837496711,26286948784,37559289792
468662730,216644949,287965354,48296914300,143977619,25362537845,25076101525,741905381,28098163048,38930069563
502388868,201521143,357054988,50107865361,267122505,34612040032,34259363687,845288807,25698530928,37788836767
469199741,213145583,297525435,48352967325,129002001,24839691117,25323305699,747924855,25987216070,38775401382
469729115,218730816,300588498,48060167519,121604962,25463685410,25218641285,746017469,26678315977,38758979831
497698427,199088682,340267792,50095107101,221690491,32847250932,32349420838,836396281,26378116827,38750657909
504302151,195295679,377037667,48794233292,219284447,32778666296,32686330990,863972194,24968648826,37682875309
504512139,197553301,371650410,48599793967,203666133,32757438628,32714261302,861658878,25799684425,37376077125
467164106,199099636,276434703,48480542120,414439397,37525211950,37132434379,728980542,23878988438,35899283767
466069361,204599566,277851195,48099866031,427123899,36682819235,36287812694,724224491,22619928417,35791945429
462829970,197750815,265750965,47874995696,454214589,36590593242,36644682250,712435605,24790206341,35371164967
462744233,200878457,258640596,47357595988,367513277,35127233335,35311694158,705182231,23855275723,35609979311
464480887,199214803,267114249,47388278501,436234308,36293016606,35887546358,716395857,23278603682,35257905333
464652773,198307756,269349234,47912339638,449994367,36297357456,36878128220,718539071,24886927686,35558540213
464431238,198014453,271128038,48242803572,453517631,37227772136,37025242522,719650083,23566345437,35781063376
469053509,204224350,262019638,48729980919,270454963,36127352133,36427170979,713271984,24945555163,36389951728
464609083,199325783,275674732,49544486190,442953171,37481607085,37692880519,722505540,25435582408,36564820260
466398223,203738043,282257465,48739150909,439540645,37207997796,37326758320,729829574,24883466416,36017417394
483792928,206895921,342170805,51412150669,542101710,33576394498,33691570450,821822932,27273316083,39379990792
447302924,223507165,268107226,48424886240,125884032,25047730231,24882235585,691166405,26038218440,38982409159
492444044,209447367,347072607,50258145834,322752436,33946883320,33529213676,836881842,26847538808,38848278187
480479482,218521584,343899964,49540431367,330795340,32824570137,32427413748,822824388,25423593757,38697863706
