LLC-prefetches,cache-misses,cache-references,cycles,dtlb_misses_walk_cycles,inst_retired_any_p,instructions,l2_lines_in_any,stalled-cycles-backend,stalled-cycles-frontend
29007521,15127717,143597192,11349011342,329676654,11215138802,11066326036,198345505,3387109881,5947451211
43193867,39165559,101682000,10959907521,85208933,5630173560,5741528551,138985743,5393547839,7992302987
44081391,15117945,177287868,13636247887,393875961,13672529747,13608867351,251835456,5079507236,8360636738
3102514,1994577,38896618,2162051321,80865716,1533729295,1867542066,51734658,828379417,1309031186
45785137,18286062,152687526,14805380631,377693150,15573107894,15042344664,227780008,5695005328,9526256937
31643076,12576402,152639045,11886748440,305445863,11297515438,11031568649,193742865,5265614585,8145986820
45126424,49944197,116559627,10599013403,84148870,5849690479,5670868497,148276217,5410290073,7686418173
3633466,1600272,36913896,2176565728,78982617,1555224983,1761526322,47601683,868491458,1334375114
2553387,1293691,36019989,2410803590,77396634,1696758562,1833316537,45697328,1050638859,1594980131
3181233,1417447,35830756,1944267349,67067336,1342143850,1541339193,44309100,773949932,1277515844
2301759,1379316,31758547,1382260829,51740654,1066880729,797000732,36953303,628722851,932791116
2075714,1914862,23100344,1563340012,54026764,1027590974,849662820,32974240,808924714,1144354870
1944392,1131817,26926850,1425448358,60562441,1087476584,895721803,38570120,681488316,958497784
3207584,1351659,33317171,1904373611,74865008,1729535326,1512578572,43663642,737861429,1153209030
2657697,1375015,37349320,2015553333,80330196,1875660431,1526523161,45507889,815959255,1250668691
2818396,1690477,37783185,2013289687,75831868,1581962080,1816508196,47750775,766628913,1245359394
3768647,1704410,35812204,2858085975,79193152,1659661579,2050451706,50257421,1310978893,1900896063
2698240,1902191,38776837,2002943265,74205524,1676971466,1636655726,47943732,759800890,1217193722
3361325,1492811,36242112,2071026748,81892155,1734438118,1727218493,48753161,852234947,1261081874
2514675,1470358,36370560,1989734901,72472174,1759152019,1523874717,43953362,776081068,1204313258
