LLC-prefetches,cache-misses,cache-references,cycles,dtlb_misses_walk_cycles,inst_retired_any_p,instructions,l2_lines_in_any,stalled-cycles-backend,stalled-cycles-frontend
6190856,6018250,37050192,3726256796,60025293,3429209664,3325859076,45587380,1231408156,2006875265
38742994,28899272,82246353,8438231540,53668857,5278900180,5539277381,122928851,3696903145,5612258075
26626006,9289581,63991321,5707505504,185879160,7334687317,7170028325,98239047,1334421831,2910069121
<not counted>,101219,916533,65527441,507776,<not counted>,36927031,<not counted>,24304896,41146829
20846834,6388037,60981972,4180610251,147874883,5300382632,5179064114,88143847,1059117909,2323030474
20671956,41968067,47264263,8510774342,11822074,4208600200,4123781292,62334065,4266664985,6337418961
11707587,15147902,34055420,3003633824,33633032,2567283381,2418219364,39370099,1184653334,1804095433
<not counted>,70699,522724,34089935,538940,<not counted>,22710937,<not counted>,12008022,21185092
<not counted>,42894,426082,16133758,<not counted>,<not counted>,8401348,<not counted>,6412669,11323098
<not counted>,55074,287453,17487150,375773,<not counted>,9414621,<not counted>,5793160,12269977
<not counted>,54672,459277,18844397,<not counted>,<not counted>,10175619,<not counted>,<not counted>,12997945
<not counted>,52344,461823,16905723,<not counted>,<not counted>,8158480,<not counted>,<not counted>,12171816
<not counted>,78874,461290,41923340,923593,<not counted>,32714343,<not counted>,12546538,23388533
<not counted>,61412,437723,21013861,186460,<not counted>,11629393,<not counted>,5590333,14508524
<not counted>,44434,398640,13886271,<not counted>,<not counted>,6663457,<not counted>,5873614,10104199
<not counted>,41612,372046,11719237,<not counted>,<not counted>,4719137,<not counted>,<not counted>,8983994
<not counted>,103556,528574,38133188,327291,<not counted>,28051462,<not counted>,8836772,23190672
<not counted>,81752,467667,19209325,<not counted>,<not counted>,9447862,<not counted>,8451211,13905983
<not counted>,48324,380883,20282169,<not counted>,<not counted>,14552309,<not counted>,5416797,12548967
<not counted>,78470,387009,20743723,<not counted>,<not counted>,11047917,<not counted>,8050712,14165366
