LLC-prefetches,cache-misses,cache-references,cycles,dtlb_misses_walk_cycles,inst_retired_any_p,instructions,l2_lines_in_any,stalled-cycles-backend,stalled-cycles-frontend
29164306,15329531,148265435,11145730364,348199663,11281611280,10932541098,195190622,3252528295,5851741019
46203427,33359157,105957876,10799714862,88891388,6041976457,5715870544,161438395,5327059450,7728970120
45700586,15672396,205546572,13244023903,271959990,13843327838,13524711516,260970457,5016247939,8116248711
3733304,1521665,38423373,2554632768,86506275,1681622983,1994950129,49869274,1017055540,1631949729
33993315,11873816,167135925,12431358973,215979033,11811581801,11473765744,214485147,5523725741,8502834102
25826737,41112766,85931184,11276064168,92468645,6369235135,5968002915,109071127,5843433539,8133474617
3255292,2080219,38348263,2107326365,80775141,1925949137,1656339938,51054121,952048764,1299798371
2841492,1812512,35921785,2513643218,76126655,1683140649,1852456309,43281023,1107808954,1705781048
3321993,1283823,34228632,1830945370,68237319,1277943173,1630660727,48616197,726887102,1109244304
2287639,1519936,27262512,1403730520,51663441,1100357627,758440415,36022133,656321592,988873224
1756153,833190,21696685,1558056787,49727266,509177602,489231236,33057061,875753719,1205883898
2391816,1130190,27760242,1892395053,59527823,964543370,1209682747,38459620,866959235,1352460097
3522502,2846454,38154465,2628503095,87131834,1953092474,2357941950,50354729,995855832,1548027048
2978243,1341012,33058615,2078429645,79881999,2024669119,1587729983,48243366,871011723,1274342092
2890249,1753109,35943186,2398584057,87270539,1512108128,1692063544,49534026,918428134,1415458671
2394643,1436258,33706931,2349159469,77409624,1664116592,1795074106,43506263,941520682,1497632664
2927309,1300386,33651413,2059909855,76297914,1636638275,1752444051,47712744,855936135,1280648915
2960812,2026666,34258945,2020487755,79766851,1902738129,1526435052,46853615,888335299,1268217717
2790613,1760326,35630130,2224903824,77933872,1926343458,1690834534,44395081,917803371,1466945487
3421463,1788786,33199937,2363344678,89489178,1627698870,1867986848,45374714,1040009863,1556982488
3017228,1319177,35834997,2285473789,76940903,1627754766,1735304523,45250805,946921977,1497554323
3366220,1846610,36821752,2116339007,76128158,1628821887,1663277284,48229150,832863659,1288857530
