LLC-prefetches,cache-misses,cache-references,cycles,dtlb_misses_walk_cycles,inst_retired_any_p,instructions,l2_lines_in_any,stalled-cycles-backend,stalled-cycles-frontend
<not counted>,460286,550934,109809945,11570512,7365061,29690644,<not counted>,82267244,111708174
4266284,17387849,22732396,861219166,33556680,1120913946,1116761390,18832043,191621735,342419514
46650259,11744482,95156026,8297663117,198009118,10914989699,10545442169,157866786,1986022745,3930213932
21836792,22795729,46422446,8424977254,97740113,3673248994,3623206682,60579245,4590009934,6400712819
50598453,14745754,56126700,8283393717,123988127,12325929533,12123163027,111897321,1957056780,4123035264
39375649,20448265,68413047,8018803446,127897742,9254660153,9095372735,116044596,2712517221,4663652767
38993748,12629446,50116426,7120770812,103340070,11545383656,11216607767,93421096,1572841008,3140663410
131288,13452113,39435095,9115350262,319185307,15139102252,14979620531,38737938,1880397805,4012096309
123883,14400631,37863006,9121042141,323521725,14760659147,14670655104,38534668,1942196998,4073726734
127984,14328044,38816704,9111120307,325009451,14957007998,14602071579,37528823,1894212364,4140994167
353144,17437869,33631642,9103464883,222229384,14006337200,13930773642,33419723,2089714909,4417560160
17002542,13002135,27796991,9084408512,193965842,15647941954,15404278200,44033546,1677124936,3811465920
190479,15444744,37099690,9112603350,323204612,14106564279,14185069238,36564432,2113845045,4365383814
5326771,20158238,25759757,9045122045,154629766,13286499535,13284677584,31212539,2135596268,4580363014
1804863,16096446,35242414,9123195097,251014745,14647836925,14489474081,36470843,1870763295,4215987695
503954,16557972,36421764,9134975830,302167064,14038052088,13992521738,36567101,2120570570,4414406965
118478,10645362,46121147,9171550571,423793954,15429442065,15249792003,45597204,1901103820,3985307681
17560320,13897696,67369304,8855136396,317061271,12834964644,12485333634,90750503,2105369311,4103593115
19344843,30674357,55979544,8358111159,196302813,7778837979,7629898529,73475014,3600008314,5476437826
25040064,31621775,67600970,8194060923,283496949,8088925311,7860483082,102011332,3721837926,5487422377
21776120,25452198,50332792,8571815130,2880109,3861701981,3800939167,69469291,4321344287,6526754912
25223911,27543719,57257705,8595396516,21943642,3871321186,3826300341,74219499,4216778165,6546218043
33716180,25186947,81942153,8364956792,243927508,10238451443,10264650687,102538950,2772577821,4794529402
