LLC-prefetches,cache-misses,cache-references,cycles,dtlb_misses_walk_cycles,inst_retired_any_p,instructions,l2_lines_in_any,stalled-cycles-backend,stalled-cycles-frontend
96533919,377256387,673018814,57285514913,5678133430,28583931317,28486543241,790240838,29617175756,43107786709
99518416,396304170,618953774,57393903832,5406241048,23446094941,23453245568,710780726,32004267905,45400152577
123183820,372402137,656494945,58124552266,5818163285,33163314777,33485297370,796865572,29516180585,43385741933
99667020,398395789,632623536,57449228650,5414552123,23480270887,23665446620,714446518,32085900258,45379177708
126808637,382817325,700140340,57722280625,5601050359,30508323852,30025989954,846711268,30430876811,44063215479
113039228,396963918,648643245,57008548708,5627333437,24698016243,24456210242,760916818,31661339606,44976990987
127258447,380443112,665050011,59107256184,5611722764,30144864463,30296909795,804228127,31272142455,45304438885
69376895,380229422,607077843,57511469375,5749212331,34671884492,34258346536,679041040,29121516478,42498875037
66148903,380045967,592553800,57944159376,5743992146,34919868459,35288585724,662368622,28827393408,42743516713
62492493,378462324,604004627,57600029652,5875087192,35377912828,35239974825,671311685,28867714629,42530411322
62533030,378567692,605148902,57792974764,5930802897,35252389242,35637710660,671250096,28910576597,42482744215
63385138,373453743,596094233,57844144564,5849394198,35252364060,35589233032,671531158,28792092411,42544682579
62319479,378223188,611302634,57504411600,6029507033,35115211127,35120780730,678292430,28671352705,42472111846
69773456,382772203,596758254,57840211555,5847229798,34534742961,34862361062,672483847,28897847283,42823673678
63231605,370686825,598614731,57452413326,5813701901,36107990497,35660453157,670215624,28672453654,42207841415
62834666,375065346,604450471,57579999606,5921184592,35134039437,35562618081,675418878,28696475809,42431514715
62466595,373049150,601730803,57775969410,5874041788,35383879895,35565492580,666751287,28804264517,42571157123
80573936,393449331,597047757,57518851830,5484038148,23213204540,23435059421,671888459,32138462879,45527380069
103294453,388982411,658737663,57497707537,5668788594,28534340382,28017144194,764960627,31078579118,44490583562
110474518,385517390,677706901,56689641573,5686368303,30464409787,30287384937,808764132,30321155443,44248607691
