LLC-prefetches,cache-misses,cache-references,cycles,dtlb_misses_walk_cycles,inst_retired_any_p,instructions,l2_lines_in_any,stalled-cycles-backend,stalled-cycles-frontend
8725738,11179128,42410286,4043581383,61073338,3504524646,3480757460,54761943,1510172929,2279518533
38549200,33925006,73104002,8367660537,28890764,4438159678,4436406791,106824420,4121438714,5998517585
58512395,11978409,77272056,8444865265,324441090,13026413897,13007065408,144774983,1458267474,3692000727
37782674,34691718,73304612,8542060553,3039039,3977326021,3923172982,97505145,4552149489,6445737301
65916016,10049726,97145848,6928674674,113920067,10497029915,10334769436,181683230,1426889733,3225824725
73920506,10099727,106858204,6779582780,118655384,10788200624,10483537609,181336757,1258246664,3116935152
63085347,9773249,83925959,7122694004,112288454,11419377735,11022993829,152222444,1185490359,3002185314
199693,11286884,40828610,9018853975,399674657,16476917960,15846371544,39843212,1425821184,3594430415
119217,10426974,41123024,9125981265,372683883,16036234889,16112850372,43185598,1496520693,3746757191
124398,14061147,40016591,9168275135,380093912,15863030713,15346511286,40453719,1617777532,3998934306
36540544,9787721,21135991,9127052887,154402919,18463214610,17999631975,57632593,1047389253,2956768221
228794,12499895,40457072,9140035982,349885718,15625814125,15711256877,41472829,1601518390,3904257423
185732,11824026,41938991,9028797680,418533049,15850663777,15337597087,41816322,1537431939,3823354053
138240,10252248,41885829,9133827776,393129434,16262941779,16103921912,43460554,1508192175,3759079451
980740,15784131,38570478,9157715089,339141741,15615873968,15264907126,37975874,1603251538,4007792817
164798,12452304,40108010,9180452360,378007987,15733388760,15660854341,40821576,1598834824,3927786349
920569,8606275,46134053,9036279754,406687087,15436106503,15684014119,49001940,1532595063,3622642376
18620647,35536121,40586455,8500361945,2871602,4047729615,3986056232,51716004,4576499333,6380276712
37659489,19193697,81903685,7697359141,180487338,10338362200,10172601418,107169941,1895875013,3933995229
47756405,24841921,93115707,8135877870,196371244,11795513861,11539481414,150188235,1944479741,4297190224
52095653,37560949,95940612,8242479581,167726863,11000679934,11022117363,152611629,2241825731,4440664338
