LLC-prefetches,cache-misses,cache-references,cycles,dtlb_misses_walk_cycles,inst_retired_any_p,instructions,l2_lines_in_any,stalled-cycles-backend,stalled-cycles-frontend
38533198,21030571,143540294,11113937535,337063249,10741579683,11271020973,203136410,3363411062,5820362061
25264014,18237224,145450735,11446713117,323756599,10378544492,10650083103,196489830,3761984277,6185729070
19508665,11145008,137232450,10607189586,291840080,10403678104,9979734888,185818119,3330603509,5599322717
21217136,11292369,139212195,11524619470,267128337,10707347106,10863072378,187482999,3530591515,6034174708
18340029,12218834,139647480,10692772677,280574355,10350073479,9941271261,185684894,3428797706,5728356228
21035288,15032881,148203450,11145067542,291764441,10453253483,10930480393,192529539,3353588752,5760720759
20375873,11088083,138250979,10938662958,279648460,9900019381,10398262134,185937262,3393533861,5697095495
22005094,12795139,145792994,11149447969,306504068,10866729536,10457733680,196307692,3631596418,5846044376
20106633,13129739,139757413,10563412693,295025902,10083762910,10234726433,184530029,3242884843,5590426001
23958818,11932400,135871053,11111473800,250673438,10706837696,10811243881,180398306,3184330431,5540297674
19656762,13923864,129539145,10107110800,278201853,9060359011,9311942985,172645441,3293247886,5447595818
20453522,8838123,127768508,9856351706,222212738,9169126861,9177153280,173980770,3103979788,5159896711
21466828,13160999,136882741,10619806486,270727734,10418812536,10064379864,182791090,3462138966,5810600952
20010114,12200225,136282984,10529380254,277948522,10366145312,10001226496,183208217,3139136115,5458817806
22040474,13849689,144257124,11707135473,282023371,10587556864,10932471650,189836617,3658917308,6137492871
19389893,11405971,141082534,10729627825,287427895,10307065869,10080111950,187807244,3405606232,5694859322
22815209,14985869,146603486,11349457294,305712046,10241402332,10945371396,192968425,3535396927,5904140987
19582873,8897946,138958234,11016745448,263424635,9978213387,10519051505,191720633,3471416857,5691977733
25245828,15416324,141286777,10748585999,322189065,10338533875,10111882285,198891041,3539006543,5724608041
19409990,9899076,135082343,12044065595,255493073,10488892885,10811887477,180173325,3981237422,6482040508
22718193,12678129,143186617,11335167738,289744222,10766885039,10873816078,188680161,3506510705,5936574533
19533686,10950202,134080823,10675850131,279313462,10649489651,10319959612,182850480,3201951353,5458032957
21329304,14488538,142141350,11080080015,283607065,10249110512,10453843238,183331592,3352204011,5798890087
18776429,10040659,140004538,10914564311,245770274,10132997755,10220205339,185957436,3322190456,5584023195
21562743,13766646,141930260,10659964589,289122790,10047071008,10153856991,189779121,3348714487,5624088806
21863600,10476687,144410357,11252001400,244604755,10408774867,10870852818,197152261,3484183254,5771202753
22404451,16149055,134919429,11987084436,314201916,11002819632,10687863773,184927657,4298532361,6668713167
19847718,10443251,143521897,10968103807,244034552,10505763741,10604166348,190217486,3319250331,5602038148
