LLC-prefetches,cache-misses,cache-references,cycles,dtlb_misses_walk_cycles,inst_retired_any_p,instructions,l2_lines_in_any,stalled-cycles-backend,stalled-cycles-frontend
16716248,6791997,104648482,8813261601,155445215,9014202547,8515242049,143961554,2597861412,4415475212
18614816,8809033,51205384,5245855482,116017152,5516720661,5604729046,72733569,1496766374,2554630376
439612,291452,2493673,302544705,7070388,237108821,271354182,3023716,73736540,140249462
439795,333699,2700477,219342774,4238554,238869098,159020148,3168050,68910964,116134836
91604,162592,734122,43252978,2090557,40337349,17261461,976395,19588044,30721593
152490,271190,1388484,126459943,2695873,69031225,100092209,1205179,39778206,70902859
539570,186707,801338,118488673,2602114,126587790,90693896,1609535,39342407,77134612
239485,284344,1643421,112265817,3031190,117403278,78729625,2156375,37679430,51583011
11220637,3832398,14512667,1563374023,39376820,1691338683,1805988698,28357575,413485158,747798767
10010288,6035191,35797462,3620338306,87795159,3822346110,3788779131,47534106,939915867,1742294619
<not counted>,188552,742180,148608867,1897417,208183770,101255911,414116,45950047,79389017
<not counted>,70860,181185,57215076,490892,40208484,34286138,<not counted>,17009016,29628100
8574172,2601564,19599099,1419299373,41947510,1603525375,1489563620,28194565,403778488,741398907
<not counted>,74891,198252,48072116,1546124,23264627,28401012,<not counted>,17961225,28664232
311596,133828,642810,81188842,2194254,89348166,53433697,996296,35324731,54093842
<not counted>,385132,1607107,142473017,1242310,33022499,96634279,<not counted>,18805197,79744436
<not counted>,146136,297937,89007692,1436794,72769827,66344753,<not counted>,24763643,47769130
<not counted>,100509,276668,47212078,2000904,566719,37102629,28562,18193510,26959740
<not counted>,96832,117098,53448881,1716187,58056574,22972120,1083322,24705247,36103695
<not counted>,151792,388919,60938685,518764,46574490,37289308,534702,24273285,39160861
<not counted>,58012,174967,39298181,1296370,21271762,20209812,<not counted>,17941076,27101213
<not counted>,42221,120613,16065395,415146,<not counted>,10552066,<not counted>,6709808,10235934
256099,233005,1110854,81866577,520794,103278754,59907162,781797,15887740,33813985
<not counted>,104037,316475,47104851,553331,<not counted>,39943120,<not counted>,11210780,25876633
4483176,1127750,8046342,710459078,17292662,841879314,793874650,11141813,183148842,340240073
<not counted>,58324,173116,22723285,<not counted>,<not counted>,15899399,<not counted>,8856013,14107372
381428,251555,1084455,162419991,2308903,172876549,163969829,859783,43293365,79662492
7715270,2333165,17381914,894026078,24233624,901893610,843343993,12994515,277168636,482778857
5923526,1866591,14248611,1093646205,25581568,1327160151,1199430412,15241849,280261853,548551689
