LLC-prefetches,cache-misses,cache-references,cycles,dtlb_misses_walk_cycles,inst_retired_any_p,instructions,l2_lines_in_any,stalled-cycles-backend,stalled-cycles-frontend
35549384,19965047,141471248,11414481517,333269325,10793417124,11222696176,190986844,3422789909,6089831836
23093154,18153599,146292142,12349074976,327383472,10770891749,10684755319,194229636,4341096792,6921121219
19129616,13719912,162755234,10606680092,264069160,10323526094,9960584904,185467436,3198166499,5518101686
21423830,12670212,174371451,11181348167,242063722,10477971691,10822852997,196422334,3494689534,5786162332
20000755,13754348,139545258,10850074098,287841948,10025832086,10296129160,183484270,3274315003,5774968658
22092201,11792772,143059052,11622872630,262925356,11007046227,10725004672,194068242,3958777903,6278150619
19790894,11491842,141262892,10661994380,282676005,10322586744,10100078063,190664260,3323026394,5514442579
22906454,12918238,145466546,11265395214,294850960,10783161623,10680739043,196635396,3575477617,5905861927
19125874,12552507,137316042,10598076298,301769977,9723218050,10045193106,185306859,3233558640,5550127828
21612144,9699878,136593635,10752810074,231192408,10075362368,10472713569,183060292,3114230045,5365040043
19701791,13084428,128938868,9811989385,275884743,8826522359,8854244380,174317792,3260335176,5371540108
24911842,9686604,131091756,11553824921,236770422,10138247187,10203574463,184083071,4019885747,6402996237
20118073,14512734,133304408,10539191990,280832365,9718897739,9774882170,175291510,3444422335,5785350626
18556349,9164789,139922311,10660330325,257431410,10468641723,9955520180,187438492,3404690144,5490463563
21503517,15035707,143162511,10966874802,298476063,10318603229,10419174391,186313015,3460715262,5817220855
20573816,9713538,143388313,10804774791,241751766,10013212374,10230172974,188643449,3298980580,5553479199
22503093,14820745,142168324,10594262463,286702061,10309254100,9924159101,188722818,3485560873,5600424717
43330852,24654461,142772447,11306873376,328619545,11135324689,11453977586,201368944,3475165008,5956632183
23297231,11506733,103137796,12126813593,206872733,13240649811,13586218627,141524644,3545704620,5745563244
26468422,26589876,91868578,11511724793,173250297,15388327061,15062912696,122928427,3045665731,5254232201
20130803,23373802,95215449,11488257493,166339788,13675721037,13267511266,123916282,3639200529,5850719346
18379877,21459858,81315760,10139871104,164792894,11793300718,11898678253,108779584,3034166361,5104278263
27986283,20479328,107834963,10719821072,198787455,13469764836,13215357569,146525398,3001651486,5278915788
22176546,25876583,106359419,12338256740,207059762,14959199419,15070108008,141649243,3815383515,6169356428
