LLC-prefetches,cache-misses,cache-references,cycles,dtlb_misses_walk_cycles,inst_retired_any_p,instructions,l2_lines_in_any,stalled-cycles-backend,stalled-cycles-frontend
16838986,5702069,106733544,8874986022,166549451,8763371768,8797977470,149418549,2581464831,4345968987
14762716,8315815,52567466,4945435901,111846529,5347883097,5364301629,70726774,1372438140,2374794730
483212,312387,1875174,229787345,3642611,220986668,195731129,3184814,64384593,115693306
506400,382339,1968100,257663487,6233872,280683500,200930467,4082830,61503510,97259468
931952,224358,1939614,226095808,6131646,276333448,197465571,4256081,74698253,129046495
226796,289871,1784363,165968256,3528264,125769119,138423289,2193399,51915577,89838616
<not counted>,80231,258224,53271636,2032167,35654231,33704268,1372878,25062705,39749692
350275,399120,1667977,108149582,2187117,125083965,81372769,2146488,29840928,63249708
6086277,3178147,12644621,1261633622,29574783,1595425637,1454913372,16657399,321501153,654762756
9017586,4655675,25542206,2861542573,69474901,3108098790,3204636589,40162409,692427267,1360506936
464532,195983,1125881,145870536,2202765,147899348,144480833,1103892,41056721,71850118
2210147,940355,5043655,457319605,10963593,359768617,455447844,7949764,109812526,250694959
8130784,2808376,21311841,1318944949,39780401,1507672731,1478327219,25330235,338256640,654698870
87741,61463,685273,40641627,1846524,50540827,30717965,783812,23330784,28502521
559039,348064,1888188,211752720,2737377,280371619,190545003,1732054,46204932,104766915
3519781,1660180,6179183,658034707,9666400,812536116,858674985,9451049,115139403,321579526
<not counted>,49686,75750,29468973,853795,<not counted>,22803746,<not counted>,10090298,17270793
<not counted>,138378,260885,67682613,1190224,99981841,47105891,552349,28097391,40150950
<not counted>,59105,110656,11144516,488435,<not counted>,5975756,<not counted>,5597468,7851848
<not counted>,106036,298562,66620410,753408,<not counted>,48533168,<not counted>,20278702,35381425
<not counted>,110170,124901,27524984,<not counted>,<not counted>,18796991,<not counted>,11245566,17011119
<not counted>,123975,237120,50420578,429492,<not counted>,40603296,<not counted>,16024269,27015813
<not counted>,75949,225846,25330652,<not counted>,<not counted>,18085119,<not counted>,9620768,15106625
<not counted>,54848,137916,30067253,251600,<not counted>,25403791,<not counted>,7867805,15321622
