LLC-prefetches,cache-misses,cache-references,cycles,dtlb_misses_walk_cycles,inst_retired_any_p,instructions,l2_lines_in_any,stalled-cycles-backend,stalled-cycles-frontend
17028754,6701454,108228811,8788821774,160244568,8974986108,8550601428,151562212,2589266734,4306345038
19082685,8867350,55482663,5066592090,110452585,5615262440,5414977516,74052857,1409824684,2400635922
966646,354343,3155469,398477587,7110740,374139394,369268570,4737803,106269530,194831967
622815,262755,2088815,208838567,6049621,247776925,182219816,2332376,84766963,132540716
143856,159457,723757,65095833,1654965,39533739,54240929,960486,17313987,38409034
162470,296013,1412959,122833219,3366788,101293033,90423447,1704231,45840757,67100424
<not counted>,125228,148147,64476416,2211498,31303542,42342101,<not counted>,28611343,41838642
<not counted>,123747,418538,119671412,3411811,119816475,57287090,2474479,46300445,69977814
11582597,7010513,34322561,2500019531,68789356,3065273274,2873945240,33359073,593119424,1228687376
13171594,5608589,33427128,3461369188,76838017,3921839742,3930836292,47036391,807870441,1604819777
99876,247267,945175,119548672,3421402,49755961,113751912,1165918,37621226,52549283
629705,203979,1602330,172095079,1706451,184416282,154107949,1810555,49338289,89343437
8918159,2774309,21725415,1349875755,31665157,1578579269,1462634918,25493963,310990707,671318638
67868,112153,870476,99894131,2846573,152335996,74163897,1492587,43421603,71114312
706844,337733,1611217,205921664,2891229,217035650,188528939,1818229,67055088,111716138
<not counted>,50652,147350,26804885,<not counted>,<not counted>,21037487,<not counted>,9850954,15160255
<not counted>,124859,332213,64527105,1499198,<not counted>,55969353,<not counted>,18621054,34046199
<not counted>,117148,373066,83995543,1178976,<not counted>,76354053,<not counted>,23527434,42907781
<not counted>,105154,372102,59770549,1866274,<not counted>,26501168,<not counted>,22859334,34565071
<not counted>,85868,330506,39357063,971057,<not counted>,29709210,<not counted>,14513826,22625301
127401,291944,949372,75583075,1777976,146154297,51157783,855363,35073494,56023381
<not counted>,43322,101158,20742110,729876,<not counted>,13694940,<not counted>,7631481,12687652
281461,275374,1115917,96020914,1599602,155303272,69330123,835602,33135008,54990470
307103,546822,958032,231964191,8317367,159806425,168298124,1736540,102665879,146953483
<not counted>,96374,209744,25624509,435317,<not counted>,17426709,<not counted>,10744762,16204866
<not counted>,74655,387601,30245607,<not counted>,<not counted>,23084637,<not counted>,<not counted>,17595509
12801497,2698103,17405823,1121420839,23051068,1281231039,1220426867,32146766,246683043,508999081
<not counted>,62016,178285,22951518,<not counted>,<not counted>,17005374,<not counted>,9194069,13681990
