LLC-prefetches,cache-misses,cache-references,cycles,dtlb_misses_walk_cycles,inst_retired_any_p,instructions,l2_lines_in_any,stalled-cycles-backend,stalled-cycles-frontend
249272818,555278864,661947484,58116268779,413029896,39629244525,40006076650,924868101,34459166226,41223402039
300656814,566629379,631839244,58323256213,475616213,40357915525,40389405727,946572451,35518997301,41229069672
239499183,545484550,664190470,57485767980,290831534,39675130365,39541199623,926252918,34174532223,40373936310
297920591,520086599,628792663,58064075508,333605583,40526103252,40817406928,943389602,34116659707,40600205147
280339736,531262613,644541595,57629035114,403071250,39689030988,40059258281,936266177,34130962540,40556031203
303069321,568758836,635286853,57936809695,573241186,39934220197,39534363027,947399337,33699052194,41557892240
261429041,565261634,637200769,58150917762,359730322,42000578360,42530878300,908427379,33652722278,40307098795
291321433,564256930,615845115,55265484004,375407079,38528052204,38706334033,915842089,33780754719,39218174410
221878215,558800454,658710280,59017557172,247192198,44605970576,44506712052,881600994,34072970739,41050573992
240626073,553517390,629886518,58288114500,257689685,44378237340,44490735024,874493562,33826257920,39584587021
228521412,554627730,620526728,58127391008,231350363,44379047576,44609372577,854441701,34229057206,39696607359
218023756,555668603,610500063,57531504530,192821528,45032468774,45296956195,838813702,33284194690,39187811282
292911564,526033457,596058839,58364156068,260288044,42846749070,43373187887,886210938,34630655104,40838837574
232528631,573866754,640595570,57668014232,234315864,40629212447,41127195608,878711484,34572932707,41263204345
192158171,565932088,622558805,56697811237,147161827,41612979811,41748947578,821846623,35454617809,40173961984
199989176,561630585,614805580,56888921274,187144951,42206442727,42126716369,821407817,33308244267,40149026264
188536346,573819222,616821771,56827072827,199298849,39555265836,39303999038,810929705,34246861192,40707787830
202331666,561690624,622159200,57318250108,229455167,42183259970,41882532912,834590324,32886457661,40246428163
205596983,563163191,626081224,58636613568,222566254,42553819146,42822362347,838101698,35578433580,41531969055
199581477,564558215,617317639,59346697942,199240771,43181826916,43643790524,822563788,35024905420,41361353518
