LLC-prefetches,cache-misses,cache-references,cycles,dtlb_misses_walk_cycles,inst_retired_any_p,instructions,l2_lines_in_any,stalled-cycles-backend,stalled-cycles-frontend
95801146,379153758,656151535,57673229255,5684229578,28935135789,28880156751,770060116,30049119172,43398667665
86213064,382019164,691094602,57631793768,5799409444,28664968920,28452190990,786604845,30340948276,43339566998
80335280,375776310,662956620,57442051059,5673115897,27803567539,28190257065,768044915,30168081542,43267960254
83021245,375325591,672204248,57613198494,5696991793,28785843469,28493397027,783548918,30038995773,43232599247
80654986,375405697,668893791,57241129254,5708222888,28068254578,28044518369,772849901,29931424763,43187642848
80929443,375221522,687421562,57415705531,5794994772,28209076603,28207635072,777681466,30019093607,43212423088
80413090,375721674,663739596,57025495224,5716366152,28133242679,27739255371,768919252,30203059979,43109602076
80226518,380210227,668035022,57104160034,5782811530,27944311318,27775765715,767449722,30163971827,43248073169
85932083,380616179,671953391,57700726130,5829305889,28575346163,28557061751,780253834,30266362615,43351635297
84996238,378487771,658001588,57910808138,5685574544,28886154277,29042073724,767877734,30219735696,43339415807
84195728,380314946,671157922,57710057353,5779402626,28621343820,28207268933,775017318,30254344592,43571099577
82288972,371169125,677986171,57690958342,5721937894,28446560935,28623703828,778457706,30070696744,43166348704
81301630,380632510,663147742,57109082419,5751180817,27952814105,27680545345,773039032,30131672745,43157579050
79054512,374036514,670438493,57418997133,5724144491,27884748905,28167108649,770428221,30051806991,43088376399
81173807,379869464,678330748,57289229461,5872692199,27733361087,27792099406,773274884,30201769452,43327027675
80625742,371719460,669797411,57212538069,5679060917,28133353510,28125038994,775835107,30083228213,43195220510
80747474,372261868,656133440,56137265000,5660782819,27189763587,26950669338,760721163,29597639754,42601416153
80323732,374478881,662894138,56518718280,5709845811,27055071712,27198713299,769677057,29777991577,42719198914
82771225,373500072,654727232,56568993199,5715314026,27108906670,27547256234,761303732,29601523145,42663945116
81469778,374675357,674850980,57076474207,5847543704,28319973055,27835560227,786376072,30057081474,42930390759
80089853,374116241,661587055,57424409869,5699847546,27988216671,28259059807,766491082,29990784040,43297781506
81357935,372428203,666842325,57690313459,5685521722,28528736156,28697503532,776294594,30173651431,43389462992
78459596,376187839,675830214,57031462271,5762961190,28153688887,27619777569,780516477,29793471111,42992418160
80291996,375143889,667738270,57588160174,5720562573,28502544750,28328095249,775141115,30159896491,43294965163
77961975,373839780,667312427,57263894625,5762385263,28010990373,28092502371,771154531,29934537611,43103926858
81107349,378345978,675628121,57064482004,5803497846,28112809166,27933684005,779105530,29860334849,42983273538
80447789,371301989,671456167,57005860050,5758788393,28610364726,28217117217,778933880,29870623336,42870294359
79800616,380822431,672174156,57009129628,5794754233,27973445715,27518043445,778692084,30045501730,43117886532
79037274,375275196,676015930,57474647261,5774779576,28511094002,28235285280,783431213,30072174594,43123053465
