LLC-prefetches,cache-misses,cache-references,cycles,dtlb_misses_walk_cycles,inst_retired_any_p,instructions,l2_lines_in_any,stalled-cycles-backend,stalled-cycles-frontend
17474886,6994389,107717492,8818024591,169600983,8952777945,8706403661,152989586,2568125172,4326206997
15521312,9171001,52860819,4976099558,105835183,5048505425,5411038175,71085504,1287846805,2254908948
938135,550124,4042945,308291695,2993338,212334519,316651822,3010038,73966143,154065101
563592,448871,2274380,263032881,5032950,232445814,227827968,3240080,75363988,134422534
<not counted>,87600,564090,60807829,1771962,<not counted>,46477311,<not counted>,20521771,35185984
193728,271995,1286043,148298877,3779333,124476845,126361579,2067102,49142638,81450748
266534,197187,1866296,163183195,3155378,158436444,155922664,2117246,48158992,81806349
224571,231751,979218,117594383,1831707,107874765,89131022,1476265,41174356,66058622
12181984,3939845,22966125,1533057729,45852285,1829150677,1671193132,31201444,418463230,763228266
3275287,1648330,13318076,1238652225,23465352,1413520079,1384603676,17710022,302185598,554614426
348701,179984,1050104,197845691,3495689,209279175,194817080,1552483,54364862,96616905
165971,246768,886032,68966433,2626007,72290441,47532283,1161283,28358416,38864422
12485215,6984603,31686272,2987136620,79958202,3392036027,3300313058,38365253,764021066,1501663271
<not counted>,87954,276652,71899517,1976185,53828409,46331854,<not counted>,27288206,44854350
652508,368756,1365944,178129115,1644704,192163828,196334946,1726779,44563202,91469577
197989,549569,2726160,213571464,4512389,85465307,162879476,2256650,58197339,115801238
5213871,2140641,9427410,1010397744,29539535,1164705706,1127603315,18789726,253796626,501285995
128152,102454,888259,78640212,2367659,118579688,51836821,976051,35276487,57928944
<not counted>,73504,199835,44610312,385050,<not counted>,41523423,<not counted>,12340717,23044602
68431,218967,714455,51523927,1395454,76016962,21307977,449215,24521119,34837225
<not counted>,69696,122747,17718414,<not counted>,<not counted>,12878825,<not counted>,6121072,11005394
<not counted>,119827,376969,34552226,<not counted>,<not counted>,24293893,<not counted>,9979640,21442555
<not counted>,78307,270055,68465579,788388,102301006,41754349,810946,17946667,35904158
285667,961551,1540828,266117008,7378543,230965484,192900002,2292928,100351571,153641194
<not counted>,65143,116898,35646818,736322,28523977,14538777,<not counted>,11090022,20662356
<not counted>,79824,213186,34762601,676555,<not counted>,23892871,<not counted>,13234188,21173887
139198,216210,747508,78987782,1616954,52453716,68346229,811652,27745357,42156048
<not counted>,77690,149647,28011945,739834,<not counted>,19565898,<not counted>,11219157,17256117
10990043,2996312,18760963,1090854905,25827438,1287563872,1167631130,19255806,251371502,509547788
