LLC-prefetches,cache-misses,cache-references,cycles,dtlb_misses_walk_cycles,inst_retired_any_p,instructions,l2_lines_in_any,stalled-cycles-backend,stalled-cycles-frontend
444845484,586986801,651593501,57739798435,495417673,48966778113,48793728123,1115187973,30650868885,40870169061
365252990,674653701,717215548,57674005460,292592997,40892671032,41288642206,1092958753,33760719148,44124463006
374805596,542514248,581309885,57677539220,252605560,41763211698,42599126881,951977568,32881678668,42838754052
468902076,588525117,627315904,57344911760,261577174,47441593329,47679184155,1093258455,31602911367,41297925501
468049987,596444403,630641157,57312786487,281266060,47643052229,48389617398,1090408009,32019168019,41671561891
334042833,547653366,628066538,57941988561,595645205,42546054929,43388520064,977781452,32537150363,43530243959
401481610,528254844,553900757,48772382255,252240336,42178964163,40207850696,966064424,27317756088,36172510166
337315448,519130062,544761027,48210225313,239386322,35916598618,36979678210,880909353,27975253643,36646335694
292576406,507660750,529096397,48001432443,227184083,33972817699,34206684380,826920683,28705674190,37411506061
443197166,499441471,518655251,48025955647,237452580,37698327368,39381721945,953279542,26194167631,34342879227
405586085,483246797,500820475,47634243100,242213246,37882741543,38850561932,913780375,25708252155,33271125614
410359094,492229962,579031859,58309100889,539930218,46669385998,45764506910,1010181325,29589015841,40812372097
430641553,489040661,514331325,48524238681,250866528,38375767250,40835304619,938407344,26314619726,34119746488
462242043,497469383,588928472,54956962062,488473262,47024087066,45951602486,1067053502,28209687384,38439081438
407975936,500451920,538809154,57130532205,238575269,41987758314,42026950105,954713192,31870220308,40783917423
441236661,496593377,537083353,57120731054,243571625,44807017085,43544662405,988755589,30809095662,39394617655
411475934,471135984,506224384,56962013286,232314235,40874174495,40598995264,920113033,31447878139,39862455044
426545156,492117332,522058987,56873949458,248222613,43332082152,42437506925,959250878,31312416338,39468877793
408933948,494738039,518747563,57174241209,240935819,41417460965,42857117808,928250579,31588431868,39959032725
526915107,463680361,494725195,48985521033,273647272,43590442344,43702510621,1024890520,24486524033,32449250960
471706697,460771593,493866483,48630551764,267895860,40816239264,40877233736,973629665,25216812456,32482304408
424109100,482558945,512173925,48724085570,264799623,40320974028,37488973984,949434800,26480884018,34145687231
469788544,448628610,478327795,48751295041,277433390,40687325011,40329926035,962258169,24421056405,31497126301
502558480,458837975,488321719,48886910483,277510441,41420615762,41332749598,993092077,24428084629,32288533064
480786825,451227111,479080665,48781362353,265870684,39528439963,40408905865,963348744,24174723455,31357215234
485280617,449733812,482172380,48646871614,260854123,40317940391,40934302645,970560865,24681007442,31128786395
477298787,457560290,490530673,49142884332,266910928,40994509436,41279400967,968114519,23963552281,31404212409
483358378,457726987,491578279,48909722929,270791880,41658104547,41703361826,978435061,23799948971,31144999065
457463719,465835329,499163320,48715412698,261966977,40254434397,39717417550,957570742,24638141002,31965785592
466852847,461527046,492462106,48595124297,263670335,40542644188,39128334842,967124834,24680958841,31822972949
439097037,456820207,486768854,49114382320,262441039,38840559801,38324397294,932029215,26486150237,33476869469
459385078,473051895,506027170,48929035965,266061570,39306449586,40248832077,972926811,25781154163,33329697959
487478191,459365357,484129746,48181945455,257723583,41074071469,39710143788,981649747,24265006722,32129089262
450367678,501743733,524724705,47635694666,238510756,40720569086,39510485204,983039476,25888681460,33558787825
465380242,434441210,458337996,48214471457,240607821,39306636244,39514715908,929394849,24310212021,31013022416
449815921,470687897,501991026,48583498466,250850381,38996594698,39847373325,955149232,25391422443,33030577991
494999618,450071162,481037861,48701714863,265159032,41556089379,41023462716,981519015,24671770115,32215226204
471305775,511221154,539354178,48731404383,275384758,41892498604,42634388454,1011633371,26111718236,33861001075
472879076,450346052,473156721,48839772162,267767783,40558729697,39283935722,961686983,25131916895,32501940484
456542866,462609284,492526859,49072782248,255199746,39239042278,39686674443,950015538,25702472795,33350346752
