LLC-prefetches,cache-misses,cache-references,cycles,dtlb_misses_walk_cycles,inst_retired_any_p,instructions,l2_lines_in_any,stalled-cycles-backend,stalled-cycles-frontend
<not counted>,767987,951691,102549010,10249662,<not counted>,17565767,<not counted>,60736899,90789550
1867009,51193238,57880835,8420456937,14650289,2676554874,2583419876,60713502,5316649954,7028746235
691008,12405670,21941096,8151416884,9456320,3262123122,3244056307,23248563,5233468851,6345433183
695711,12774755,21949974,8069780093,8593715,3287518537,3221331245,25405539,5208808186,6285361094
11317871,24625331,51983470,6430643645,209153063,5170179878,4914084370,69359940,2812542946,4089847330
15921069,33530954,75315992,8239047422,357622463,6272509149,6539928413,98601992,3724508733,5614638610
<not counted>,741578,709790,108517063,5068548,<not counted>,20467087,<not counted>,74650082,95483056
<not counted>,692245,535719,116906443,11380330,<not counted>,25336995,<not counted>,77931062,101231218
<not counted>,622100,796827,110510436,10024904,<not counted>,23717635,<not counted>,73351498,96161339
<not counted>,661475,968684,105366022,648267,<not counted>,24718178,<not counted>,57700964,88763204
<not counted>,796307,1065490,120089162,1744525,27366302,24530352,405477,75353112,108514346
8175293,11384433,61400888,5283414941,255199436,4217778961,4086137451,84136143,2452070122,3796520035
6582153,9374065,44252762,3806698384,156086277,3354733930,2834275510,52912433,1702045948,2713282478
2789205,16085970,23209112,7340622498,61882563,3685219668,3827383720,26724952,4460757082,5539267163
566835,12212664,21618513,8188393908,9227493,3308500013,3256331159,22808968,5286484245,6411368824
662397,13063341,23868557,8156815042,9156342,3331679597,3214814563,22766933,5271102544,6379154219
589239,12115633,22265252,8262247767,9046916,3319832005,3262437061,21262372,5229067702,6420003152
671826,18966907,22138089,8275742481,9235109,3200630450,3196830111,24199408,5353911963,6494363699
3554927,18262797,29433379,3649809133,112046648,2428031483,2405240629,38044557,1718276552,2492414029
<not counted>,273344,339859,41838545,1288513,<not counted>,9773382,<not counted>,26200145,36236768
<not counted>,157894,259679,21513377,<not counted>,<not counted>,3528722,<not counted>,<not counted>,19386486
<not counted>,161808,267935,27647374,<not counted>,<not counted>,9816691,<not counted>,15213089,21920960
<not counted>,230107,314105,34980051,<not counted>,<not counted>,10705239,<not counted>,22939272,29091518
<not counted>,204319,270940,31014362,<not counted>,<not counted>,7827030,<not counted>,14362322,26473991
<not counted>,133623,208386,18283987,<not counted>,<not counted>,3109933,<not counted>,<not counted>,16494003
<not counted>,269774,388844,48727104,723322,<not counted>,17547519,<not counted>,22107242,38889868
<not counted>,194462,291632,28977820,<not counted>,<not counted>,7996940,<not counted>,32553059,24215554
22682,170819,549768,47001382,640068,47176807,20519093,364690,21879406,34676690
<not counted>,233869,338874,42138856,534331,<not counted>,14249742,<not counted>,17710787,34091729
<not counted>,204442,289035,34240459,<not counted>,<not counted>,11419600,<not counted>,16895812,27812962
<not counted>,149155,174391,20728496,<not counted>,<not counted>,3772064,<not counted>,16484644,18547427
399166,801679,1646784,198533521,4744547,128493144,136753646,1629909,91485083,135195507
<not counted>,296943,396500,91795361,1630264,34949456,55154873,<not counted>,35597556,60423361
<not counted>,122099,179996,16310458,<not counted>,<not counted>,3249337,<not counted>,7242394,14447457
<not counted>,181564,240939,26165128,<not counted>,<not counted>,5564176,<not counted>,15215333,22829230
<not counted>,184750,246087,34891591,<not counted>,<not counted>,14313941,<not counted>,20772250,26852186
<not counted>,138571,217904,28980965,1009404,<not counted>,14998265,<not counted>,11292175,20973310
<not counted>,155549,236012,20439323,<not counted>,<not counted>,3760010,<not counted>,15947859,18216535
<not counted>,152224,226995,23264346,<not counted>,<not counted>,5521468,<not counted>,16032157,20013576
<not counted>,181614,259949,49044377,543558,<not counted>,21338550,<not counted>,21008536,33693582
