LLC-prefetches,cache-misses,cache-references,cycles,dtlb_misses_walk_cycles,inst_retired_any_p,instructions,l2_lines_in_any,stalled-cycles-backend,stalled-cycles-frontend
323381156,533988486,638337702,64529335694,850248643,46274666903,46512924258,968523944,36581682834,44200695619
293176267,570885274,660913129,61925580000,759161079,42644794812,42861370753,967233935,35918896304,43684123222
353617156,494619059,604642949,50086919322,798992498,36205220647,36509357309,941985435,29470722505,35876280700
605824180,231799514,390131796,34591207908,597344121,49591694336,49026211113,986743248,14171689387,15340712324
627187763,226359214,345434945,37151495483,491523027,43015048320,43262365254,929641448,18840026526,20871393804
352584447,513972759,570515078,60166668624,680312021,43382978484,43568357115,925939206,36511760735,42355432739
298029776,560282948,610165652,62486264556,622230345,42180086415,42349964272,914019137,36615481900,44328026573
334612099,520502065,592298377,63389402571,694084019,42018066687,42259876386,924974960,37449859915,45298381487
336560673,529458031,627996786,64187664526,824041520,44137978993,44119232959,964148717,37460894127,45702378681
311317928,556126901,731907303,68467378264,1059604513,52403617545,52084993570,1072100151,36870173657,47044013357
298296554,564854712,624489530,63684895560,699984467,43444615888,43340143676,930011385,38403133996,45191299572
318557774,542392690,605061372,62677201125,671653273,42813731178,42777502714,930694531,37720950167,44402829340
300397461,564219608,620094019,63323449178,635618092,42466220843,42922631227,919195772,37960568602,44936992578
303191888,561410108,616793744,62702401978,620134633,42905654357,42906410204,924483817,38755938605,44249674229
357374609,513226804,586085630,63392076856,650250444,42756753370,43313366161,931296926,37740833434,44757439955
348173267,519238380,588525381,63624994120,711373167,43136342015,43637412430,927105949,39300966678,44774150749
298573947,567631064,627272557,64035163548,677950339,43588679995,43793369084,928279460,37170486229,45183009454
301526715,576433150,744181424,67186523256,1190262548,48476682983,49249400311,1071332994,36529667201,47518160749
290498902,560978086,661129329,65841990691,978377947,46333911465,47090157996,954436104,37993786304,46429666837
294848823,570510964,634644430,64805548958,712642358,44260002844,44421134505,938907356,38044858296,45732212270
297919211,568145979,631763889,64895724083,714381329,44021123612,45110994584,942829760,37212770612,45503419619
293027652,574329358,639732113,65227244579,734314450,45108293615,44758764749,944616820,38473863867,45953955168
304538612,565601074,631987917,65708533776,777871259,45148094567,45298135498,944321973,38152844083,46148465102
299907244,572325726,643244231,65242494305,711926034,44553142099,45547837455,941348682,38906071270,45400802097
298948855,570823784,642676975,66398542717,818510188,46870794039,45893577650,963463788,39426529960,46546323220
