LLC-prefetches,cache-misses,cache-references,cycles,dtlb_misses_walk_cycles,inst_retired_any_p,instructions,l2_lines_in_any,stalled-cycles-backend,stalled-cycles-frontend
226201200,674885375,776581839,56973922388,245396803,44298590889,44530592765,1012768029,33141038234,37821434939
344404583,554625007,580250390,48781855637,180213174,37089923522,36641577163,929594697,29179775145,33996216411
327651112,571608098,597738986,48815480980,146673848,36780221917,37022637312,923762530,28227243043,33664216259
320067567,575933202,606102881,48810166900,152286579,37194247004,37134808643,922353751,30254181605,33722222970
344231325,688695266,762800393,60302287209,317236337,37759714598,37992812279,1108162991,37830473446,44770424288
378993877,543829878,578839953,58534955310,172308010,41288372873,41310462035,954567416,34515910785,41106128789
375508290,545199595,579658865,58335790756,181801909,41688918180,41235801243,955907875,34778532953,41041223370
370305743,539827977,596647719,59248236000,241609208,41133370918,41217846809,973433873,36012567364,41844795651
390688012,526928149,595794046,59877860933,269126604,41528066779,41648770633,985895590,34805595328,42349530669
387030046,541883088,582914449,55802867561,190817405,40716284191,40298722120,964430671,33805994091,39009442490
352838422,549001239,580607968,49251704842,174020527,37650114375,37331438601,933194983,31619514748,34021961106
349671958,566669081,644814889,54626731607,310107685,41732732900,41387842841,996921535,32952128438,37665247724
333375030,571850757,598599221,49441877578,174245471,37509947084,37307678121,931702867,30369786824,34481100047
369973878,528525254,559689086,49531266303,172236749,36999925948,37466975297,928658414,29906016395,34305055917
309306650,587622299,618009737,48718543826,145419066,37338838947,37034972049,924962802,30017767636,33713092663
356319149,547907247,579520441,49350069607,171795882,37293752788,37367642111,930194011,29196419316,34194337932
343844678,551438356,583127075,49208063409,165105081,37010373990,37284974363,924430576,29980226154,34093967890
316469074,579042112,606884420,49074925139,168015404,37524887093,37195093639,928350176,29735323391,34116707544
312340058,584022305,611589894,49559588862,157999228,37760359088,37203013480,927250861,30662731334,34434461854
357580014,541833796,576926962,49132549288,170419078,37302860241,37443974208,930115729,28872716724,33875441020
323937312,579652001,610784594,49195531061,149732468,37547696667,37501796843,931125573,29628284536,33805991852
336774007,560755896,594581015,49146103241,166722750,37344219499,37353529181,930905416,31046424314,33974344426
313745603,583389205,613928868,49194260503,150698509,37353691320,37338294781,926251963,29182750025,33957530830
387131510,522602570,578127700,50928654246,241442425,37764021629,38090270122,965604734,31552214542,35526759331
361102606,532960287,643248495,51668455485,283382309,37909768851,37627284722,1014543456,32014653245,37445416679
322312862,575479495,605200702,49246692444,153941180,37285036243,37396025693,927417232,29492358775,34044104547
318996549,582513532,613485356,49001325176,150016869,37381281718,37555820075,933502238,30526101071,33614875077
371758418,535727332,605675085,51176039435,283914978,38225447355,37812226145,980953744,31469444362,36184387146
406561768,516576155,644084393,53186914243,383723487,39022886979,38900990076,1061817454,30964584125,38380382405
346150826,551638407,582009160,49177783420,156347040,36982624518,37236397508,923896605,29524051396,33949127325
347884466,554507307,585865665,49330906817,147871437,36994880133,37493237472,928005211,29275308090,34127748995
382089298,535480051,700863202,54471242780,454572253,38624197438,38822087592,1106570206,31171309192,40425458160
