LLC-prefetches,cache-misses,cache-references,cycles,dtlb_misses_walk_cycles,inst_retired_any_p,instructions,l2_lines_in_any,stalled-cycles-backend,stalled-cycles-frontend
289200221,423942583,488088856,56510428436,290439978,28834976528,28235566445,783182443,32121619058,45940846642
285785089,426737780,500460318,57683006919,355333514,28363516901,28104047191,792060633,32506461227,47043182329
242742262,481881009,528400653,57508382205,111685661,22721528639,23150587021,772351292,34822480193,49421960139
289842596,409824129,459856850,57507297649,97908193,27234494004,27143376839,754245887,34134941325,47445853552
291456777,408577309,458966727,57547867890,97683888,27586714445,26971137961,749047786,33988330417,47501551238
296589493,412213666,458538117,57932110644,102786424,27563965782,27618162247,752009909,34596524572,47712119135
291849256,409670309,458912443,57650934784,103992534,27511455291,26787151488,754942150,35062244303,47466475975
292468778,410333217,456766045,57561460272,95046662,27864219561,26452669981,744993596,34655940373,47467682760
284197211,417078216,469738652,57863236051,122467388,26901001027,27120438689,751281512,34209868623,47556720354
301253302,414143140,489590754,58043267679,368723763,34589861014,34910752569,795270439,32116575581,45622259474
293568986,415809817,458502945,57500989698,244987681,34382991530,33937042094,754997104,30837714199,45300973844
285579576,415930890,460833061,57684139358,257313184,33414640701,33741060101,748218251,30957776939,45405987390
285930107,437345507,563923317,59253689850,477914215,29634044238,29878759822,860798651,34460722961,48568413678
309942470,403527719,448302247,48952146277,131901153,24392666236,24213072622,755750029,29047507614,40702371409
299658805,402253142,445141320,49060872363,127563893,24111803718,23841404641,741010978,29479914094,41005850076
