LLC-prefetches,cache-misses,cache-references,cycles,dtlb_misses_walk_cycles,inst_retired_any_p,instructions,l2_lines_in_any,stalled-cycles-backend,stalled-cycles-frontend
304198258,473108111,544952296,57919408982,413445506,38710283811,38990676905,858895942,33385913565,43871395761
313795381,579321026,633579072,57496361540,311041144,37545682582,36969099214,953860058,35184954807,44847049438
305386045,488034727,524737448,57202980811,222281362,36977309594,36985010093,830400339,35351703017,44571734500
306541158,487133909,523194571,57017634693,222235146,37791173600,37229566317,836072835,35404021091,44312084003
308645654,485428636,520840756,57089488540,226072639,37666926639,36656632317,833725152,35413999093,44159676314
348798325,459837692,486023194,49037308789,248423405,35325214950,35215179609,848504727,29278054864,37472937784
349952273,457679195,489161965,48900659425,245951242,36185156644,36254192501,840873904,29476971161,37439146177
324868627,453883805,485042433,49062559705,242300857,34214635968,34914055645,813720418,29890416759,37982508787
323624228,455298396,482170446,48903193091,235013979,34158224164,34506903232,809776105,30035118521,38484843052
270199781,488350887,521816603,57600808074,417249935,44839742866,45815160659,796592414,32952617583,42719391141
