LLC-prefetches,cache-misses,cache-references,cycles,dtlb_misses_walk_cycles,inst_retired_any_p,instructions,l2_lines_in_any,stalled-cycles-backend,stalled-cycles-frontend
68429,1107235,2060684,232100588,7764090,109431383,107139758,2602337,115455650,158695235
2063351,68739762,83728068,8502497516,15733336,2682764604,2469664242,82499503,5782499868,7243543881
475951,11957084,21848497,8100005283,7510196,3272779716,3199250770,24194166,5306307031,6308549206
434166,12645667,21821664,8137867306,8096411,3318261856,3212175518,21191318,5290752737,6333896853
307599,11460632,18869951,8147129572,7354424,3280918249,3223956700,21324900,5522994326,6323107219
6023,578922,1002113,87805210,509007,<not counted>,19729277,809153,54725454,73465051
<not counted>,458807,468059,83240487,5768196,<not counted>,17710894,<not counted>,49299635,70374934
<not counted>,697737,882154,112638032,6757812,<not counted>,22765678,<not counted>,66567958,94552623
<not counted>,976199,1794288,200847101,1783666,101238139,99770278,1104450,67668381,144082510
7817990,22199192,27361022,8944914788,173529478,14160219594,14058885218,35155258,2936466002,4233125862
