LLC-prefetches,cache-misses,cache-references,cycles,dtlb_misses_walk_cycles,inst_retired_any_p,instructions,l2_lines_in_any,stalled-cycles-backend,stalled-cycles-frontend
311416058,546136251,615247152,58315745146,398035817,41103497198,41011001756,937390564,35104758686,41004872305
317357517,573236479,654324786,58263805006,391961068,36347597530,36484409680,952184433,35227336606,43165726429
309213742,542902988,578550688,57271563540,243755080,38764145288,38830396431,889894246,34189305211,40975555719
287987468,555532824,590511526,58121714769,249954712,38421542661,38263578753,878862696,36304215595,41931266414
292239117,554230179,585195523,58567114019,250475559,38502818053,38560296484,880921367,36723121296,42247226005
293839424,556012363,588769748,57999182905,235576113,38747143683,38525715934,886606372,34380943673,41850566612
315209801,548225119,635220282,57732355594,558063861,42588015566,42703924782,959376062,32635801457,40446875851
364450974,498882475,534577213,49605478491,247798231,35646294084,36145387372,890619861,29844561809,34820759382
379802432,483246403,526158762,49361229804,225899196,35761254022,36053793910,890433404,30599823068,34630031820
377956682,485310596,526243285,48984744161,253877760,36010204664,35562211678,891843277,30385192262,34571890039
404996894,454112861,498520478,49092240552,237434763,35436457544,35566560051,880497851,30211690508,34675628706
302667256,550161114,640722760,56442599499,519871718,39439808312,39946379524,951164059,33939807581,39893162146
212215733,548768087,592489845,58193864183,398713495,44904102953,45082950902,808897158,34786648295,39865110608
216436145,553386044,604840285,58275712788,447012963,43732770371,44024690869,826407508,34742809257,40328544270
