LLC-prefetches,cache-misses,cache-references,cycles,dtlb_misses_walk_cycles,inst_retired_any_p,instructions,l2_lines_in_any,stalled-cycles-backend,stalled-cycles-frontend
26123264,10767583,129360580,11562152438,311609762,10917617026,10948192758,172069089,3535254921,5912075946
86552043,217623124,300516851,12176144286,559923890,10407254207,10084687929,340689983,4927580092,7746717177
46511696,35939974,107452350,11878503435,143734654,6334086786,6403839399,167666584,5618364512,8373742828
78962378,12735221,127872693,12824741646,259802149,17936617141,18292813691,220622498,2839842659,6076990483
41663311,41770881,107437534,10633761433,95633979,5520539565,5038324030,151905708,5345932575,7903332843
43373279,41052206,98562249,10427892920,110883961,5979546637,5530650403,147326144,5264541371,7677108101
85968295,55163784,243745941,14950971813,320759024,15832093789,16096179288,353452637,5716039645,9363690511
75204452,55582656,202219581,13720516909,262012312,12580423699,12949051433,303788791,5659068927,9063907083
23694544,11954984,44955217,11600396893,130128193,17024678482,17468110168,73861177,2761105392,4360127564
3147242,13434466,79140533,11591806629,934287581,14715863499,14960813980,87039177,3512287461,5526045308
3022513,12881250,73138931,11343995759,894372191,15139281711,14687308434,82489994,3402432239,5398192419
27018206,7603679,51598495,11397440166,482807252,17816084483,17332690968,90294307,2616670865,4339269778
2900611,14860936,72117312,11451159629,881208697,15104469680,14434326281,79855186,3481393110,5660362437
3091779,15997306,66612397,11793923345,729531600,14596708510,14646997486,76961417,3644636056,5801059826
3584553,11439339,79342186,11818769612,1078863133,14497071042,14978206890,88390434,3575144860,5795802777
2506080,13446670,74251875,11911856787,990197337,14515275284,14858235466,81478772,3662207217,5847755720
25096048,13499798,54587952,11790871733,351323947,16054144245,16506087354,83504937,3028998604,4908975307
2883261,12567383,80966171,11539626471,1029805513,14658199376,15116739641,87595728,3470243785,5496665399
3250826,12786859,75356074,11460017660,978972070,15053570546,14619618162,85517410,3382707467,5510269440
3421944,12540006,78406602,11304972366,1103658604,14803956479,14499709749,93955551,3671752005,5472389568
3530712,16563109,64779767,11609629881,629968404,15067364601,14696488702,73582365,3675893098,5756668214
2819530,12348248,73338145,11741238774,952220829,14581214032,15047194497,83223418,3609620109,5739377678
3203518,14018191,75080208,13448724185,922605098,14872110628,15398302549,84390616,4589224476,7071143149
2339036,13463819,77452617,11734752982,1015218296,14370198655,14603738794,83053236,3609335591,5848029158
34890077,29395255,188295550,12804260330,825746350,13184579502,13549053651,241026197,4255786871,7097942601
23884609,42371378,81038251,11501036398,119934185,6712940509,6235725726,102050494,5417160512,8220893579
43217766,37536143,162173646,12355427533,545902470,10445107198,9970399628,225710585,5254694894,8231379742
49793364,44584737,205945842,14005741379,945736250,14028732429,14469905169,287453570,5046590734,8436958285
52988285,46525987,218765819,13375575395,997724263,14199627304,13807826580,301677460,4940120930,8193397450
