LLC-prefetches,cache-misses,cache-references,cycles,dtlb_misses_walk_cycles,inst_retired_any_p,instructions,l2_lines_in_any,stalled-cycles-backend,stalled-cycles-frontend
14933368,13947107,134121008,11215151121,257492725,10159690579,9691713302,170125898,4226572330,6288091516
18111054,19968231,154632224,11148969326,327569666,9842406283,9292826667,194279901,4026575685,6220503275
21255275,15689719,143705337,12603591598,264240075,12234039006,12427377344,182426556,4140390058,6623789516
21414798,14059316,149128342,13412468185,287201074,13372943286,13742529182,192560940,4448967234,7246105946
22061347,15048808,147433338,13615784291,302014513,12792829110,13108581663,192027531,4736416221,7435351198
22034528,13513985,157310387,13568705148,292956985,13512270435,13730580285,202935743,4556961197,7279707513
26671320,17258859,140033393,12730843720,272027255,13173311377,13255021238,183561504,4005514856,6610902850
34069459,19956035,143941922,13297627292,259910584,15088628936,15001118366,190266567,3984002574,6841597594
21437528,16142927,129127581,12612438513,259472441,12581181978,13027435493,167836450,3896718783,6268776428
19740744,12384037,116787270,12296924286,223860805,13784004690,13809010558,152880674,3451837357,5765809623
22296860,14699505,123871619,12653219616,242604128,13311305140,13618178952,160367707,3712007038,6162253398
21800917,11455534,107789794,12601182291,204069903,14122064298,14508423904,143084296,3526130339,5921780816
17682871,26795305,130574915,12419574973,239791058,12346725562,12733702687,164741729,4004375977,6560098318
36720815,27203559,251521587,15179577167,465923922,13684887070,13412444232,320686822,6125098315,9433677279
23029796,24242183,157941801,13774068522,324158005,13646161722,13471097809,207205268,4838000330,7471140855
35967872,55341135,192959996,13500260630,365152730,13123571341,13602428273,247824304,4616161781,7376889576
26752602,28696192,187292684,13997606285,357650075,13702188530,13807660008,242852766,4950003468,7960509716
22371823,27053152,131328287,12515582685,456376035,13395417020,13279665368,164647838,3967628754,6672435175
17405434,14439767,103004864,12569534376,249835245,11961061112,11889246258,134178834,4812062792,7111449214
28827131,61053067,223217150,13250173889,389249471,11729813239,11455362413,267247401,5022537052,7841257801
17805194,24112155,119507318,12155135583,272735729,12831699593,12673545192,151467621,3802106468,6215616215
33817749,79608190,193661956,13035602741,367581591,13693429061,13467041068,231790313,4538155205,7332920005
34979188,45572584,242649506,15673220417,467030409,14027444978,14099143328,304094880,6698344610,10009055426
21673780,44989790,195407512,14549487277,405709345,13276889047,13633051904,239452424,5787704273,8812699222
