LLC-prefetches,cache-misses,cache-references,cycles,dtlb_misses_walk_cycles,inst_retired_any_p,instructions,l2_lines_in_any,stalled-cycles-backend,stalled-cycles-frontend
17572505,6251517,107774206,9025546919,142069576,8798212525,8730710974,136721116,2716348961,4394815479
3013352,2512806,23263158,1950809473,42044379,1831151301,1859007380,24685068,625379831,997534371
81230,169785,1113808,110392546,<not counted>,78474133,104162038,674041,40941028,58713855
<not counted>,166880,394066,64104009,478266,<not counted>,52839613,<not counted>,20004448,35567868
<not counted>,92222,249289,21462884,<not counted>,<not counted>,14627773,<not counted>,<not counted>,13820858
<not counted>,66305,172188,14604704,<not counted>,<not counted>,8228322,<not counted>,<not counted>,10210703
671835,472736,1982919,213688786,3090217,246681300,242380153,1794228,59256083,105152521
23189828,4761443,26258595,2048776136,58549271,2400425467,2385584451,50958586,428441243,975531888
<not counted>,47613,137048,10969753,<not counted>,<not counted>,8081465,<not counted>,<not counted>,6482423
97690,1404878,1423932,402326595,10532316,390676135,284542777,2092715,179739463,269821591
<not counted>,51506,109179,10384968,603951,<not counted>,3337157,<not counted>,5398963,8678801
<not counted>,87438,168585,10168469,<not counted>,<not counted>,5848189,<not counted>,1124539,6887968
<not counted>,282814,962500,10180550,<not counted>,<not counted>,23635506,<not counted>,1507244,7955022
764314,689528,3681073,140706808,2379039,309163762,115241883,2988187,50231720,81622590
<not counted>,173880,425304,100796491,702467,<not counted>,107149942,<not counted>,23170194,46914202
<not counted>,72459,205457,19128986,<not counted>,<not counted>,17830587,<not counted>,<not counted>,10175001
258110,337705,1947242,160159427,2615244,118719318,149751002,987815,48312716,79070761
<not counted>,47513,341094,11099968,<not counted>,<not counted>,8631968,<not counted>,<not counted>,6298149
