LLC-prefetches,cache-misses,cache-references,cycles,dtlb_misses_walk_cycles,inst_retired_any_p,instructions,l2_lines_in_any,stalled-cycles-backend,stalled-cycles-frontend
12033904,11831626,96931981,8898397590,151121330,7967810446,7989242196,120560567,2895115839,4573067978
2766921,11342965,33760471,3759701155,168815965,2473641694,2289107909,39232657,1773106199,2492251443
526975,1649840,3125838,299880898,5534701,215351997,227991963,1871946,118875615,191324637
<not counted>,124377,521405,41365123,270096,<not counted>,25953684,<not counted>,17257261,26528620
74378,211260,452550,74141961,1576667,93034598,52371110,564558,24241960,46792872
825455,1987976,5019425,454294501,5635234,285890457,408552319,4246307,112130168,257125672
15186470,12167785,41651955,3272427519,115628575,3054081883,3112827978,57137081,1259984240,1929670858
<not counted>,74811,181458,22903262,<not counted>,<not counted>,18945842,<not counted>,7036880,13574289
<not counted>,40071,105220,6068199,<not counted>,<not counted>,2403602,<not counted>,<not counted>,4666008
<not counted>,67389,111113,10137256,<not counted>,<not counted>,3019559,<not counted>,<not counted>,8448060
<not counted>,109749,382370,11990058,<not counted>,<not counted>,13826940,<not counted>,5640398,8222149
<not counted>,46757,93197,6821450,<not counted>,<not counted>,2790851,<not counted>,<not counted>,5275208
<not counted>,32010,52924,5083133,<not counted>,<not counted>,1920871,<not counted>,5195353,4075137
<not counted>,78448,109148,19303723,<not counted>,<not counted>,12630714,<not counted>,9921242,13032722
<not counted>,115119,143706,52333335,281494,<not counted>,47417833,<not counted>,14244357,26950923
