LLC-prefetches,cache-misses,cache-references,cycles,dtlb_misses_walk_cycles,inst_retired_any_p,instructions,l2_lines_in_any,stalled-cycles-backend,stalled-cycles-frontend
329969254,599284293,674759553,58345333576,401374122,42989811979,43325492320,1012857955,33432894405,40028380738
260019729,641645563,742923208,57346246481,308941797,43237836316,43188312370,1017765684,32900911076,38993081558
260682603,640240434,759324213,57893221559,312664024,43227517890,42971628972,1037807358,33716808645,39372478821
315680888,591503700,690251297,58005702886,362323304,42771149145,42740248939,1020524065,33526448937,39696117601
210376303,677371056,804426276,57693221111,316116332,42847562024,42885985927,1037169981,34890333950,39476319503
302322457,610110705,707942809,58436018067,436956423,43585125315,43176786622,1024787492,34374442150,40105581761
298644722,644096699,727852938,58105345414,223575324,49412454051,48974026707,1030717020,33191498686,38899135507
221172126,672063448,733776966,56853031602,164865211,47783010141,47400344674,959561587,32833928267,37320804756
239541034,660576888,735583335,57021861288,190668632,47054056575,47175364670,977251134,32338429030,37830601417
252847757,648614559,705000164,57188984559,176667906,48265623357,48504464902,957707349,32599017471,37325486670
312138885,607075879,756237748,59881760314,443119433,45452614070,45008557705,1084470708,35536449533,42029083565
321431769,617832671,763530494,60419997650,451109359,47370278354,47509666169,1092373043,34386669930,41520100166
322192798,608232179,770956923,62165811473,498570091,46615242118,46848778501,1108518757,36595024460,43910710332
327227719,599028455,738898800,59657303446,442349457,47344780053,47331866793,1084891019,34407763685,41156412681
291247909,633183086,726331992,58374764476,322205352,47274555492,47154102626,1025665883,33715123229,39552129985
