LLC-prefetches,cache-misses,cache-references,cycles,dtlb_misses_walk_cycles,inst_retired_any_p,instructions,l2_lines_in_any,stalled-cycles-backend,stalled-cycles-frontend
15092119,5905349,104148663,9038443530,140273055,8840941720,8768166169,131792331,2676348014,4381895666
1602198,2939990,20515216,1523378171,35225773,1242156232,1221545594,15451417,466306751,746498702
<not counted>,71778,175950,24090625,66925,<not counted>,18852125,<not counted>,6220062,14087403
261308,263306,792090,96173681,775770,75177632,94819626,907980,18424341,30002055
<not counted>,74252,112838,62724562,642247,90359685,42752664,783855,20922907,32910511
<not counted>,56372,117168,27896329,444464,<not counted>,24140628,<not counted>,10304653,15125362
647976,223040,2783326,181170438,1639056,144897295,206443979,2307206,36282018,105579195
656891,570506,4080209,256489244,2404035,226303239,307020182,2433466,56561045,120228739
<not counted>,64253,86117,10190831,<not counted>,<not counted>,7387319,<not counted>,4226587,6749979
<not counted>,20463,92248,5458016,<not counted>,<not counted>,3033078,<not counted>,1835573,3676755
<not counted>,41321,63800,78867230,733366,40052890,44517112,778319,18410217,27905324
<not counted>,73132,220958,33524789,99062,<not counted>,30820726,<not counted>,7088222,17750335
1835056,1754731,5229386,542679531,6569601,535276403,364364351,8254668,280531517,368348197
605098,107317,1469701,125769211,2419419,165832618,143439971,2273920,35175280,58115483
400942,145758,1207315,101269150,900334,136039835,97814462,1168947,24576111,49525051
<not counted>,85564,214129,34000839,143731,<not counted>,32380149,<not counted>,8007912,16917350
<not counted>,60374,169086,28730723,120391,<not counted>,28153077,<not counted>,6479979,13889132
<not counted>,49239,117430,6743742,<not counted>,<not counted>,2950736,<not counted>,<not counted>,5069881
