LLC-prefetches,cache-misses,cache-references,cycles,dtlb_misses_walk_cycles,inst_retired_any_p,instructions,l2_lines_in_any,stalled-cycles-backend,stalled-cycles-frontend
41548017,13890743,166879339,58093570004,336678251,76296100131,76242116766,232365037,9001564709,20695710529
43972328,14079417,188919403,58619848733,336561729,75986865782,75547479142,263969565,9358650673,21355704448
44586802,12125354,187476548,57917702696,353455145,74362330919,74641450877,271397688,9322985917,21253020322
45670817,11488773,194327857,57957846888,355502141,74371810450,74173526151,274309727,9626881533,21505800159
45306157,12629008,179495593,58611453094,354951828,74258260590,74654242183,262810711,9608730810,21817953241
46368193,13117331,187148190,58165907587,353275876,74386455881,74602115838,269232071,9423101111,21377443206
46657594,14117246,170630224,57300532171,309150724,74826488213,74308998211,245160021,9601115530,20508766354
75845222,14592396,189530206,57209147569,316254242,74788864263,74342639225,268304470,8877002901,20437225904
45928746,13330677,172730377,58234295560,310510702,74658876419,75240408911,243042145,9333788584,20867600396
47041727,12948009,194545334,58154284928,301837950,75710035474,75378851092,244610160,8820885424,21096854297
46767040,12959719,176735999,57797135893,307656803,75767166492,75726976184,249581836,9048781061,20688574271
47072386,11624830,171563552,57837950105,294638902,74967026603,75197349200,241088175,8902549613,20973974720
53363450,16528514,230506702,59037206298,412377500,76072516069,75953259141,327829599,10391519831,22887374172
46922423,13598805,176244307,58003541427,327107133,76215951796,76098472147,253031992,9308261650,21537865173
48404953,16906384,207961494,59125258252,386937557,76730111163,77022411932,295388156,9837814074,22776133408
51000158,16773599,217110504,58843986495,396607690,76605807264,77038237061,306484077,9930128000,22344574836
47495225,16581387,194247386,58773825453,369940507,76191918761,76462099615,279456309,9716530313,22523082767
49424635,18116036,225852252,59086127638,399094257,76398075670,76507467588,314664612,10415768713,23648294389
41421213,12365641,150818635,56417172071,275023077,75910704772,75577915869,221403579,8104102052,20595913321
43592899,16218021,198687944,57269925945,330978171,75616476112,75504420445,284641465,9250717109,21955176554
48134192,19954472,237599701,58985550991,383870973,75807229146,76009789323,328725778,10405210484,23518514541
43410785,14985622,184903809,58249597299,334835084,77158921410,77528386272,264795917,9114338113,22123032280
