LLC-prefetches,cache-misses,cache-references,cycles,dtlb_misses_walk_cycles,inst_retired_any_p,instructions,l2_lines_in_any,stalled-cycles-backend,stalled-cycles-frontend
19296740,7185722,104430055,9058693749,133214903,8699933484,8812920732,141003259,2682015169,4392465614
2086075,2507855,20711137,1585461247,29089749,1101092813,1343934529,20076200,450750986,770756032
<not counted>,59762,491363,26944156,157731,<not counted>,23942746,<not counted>,8518984,13891147
241116,219528,1095594,66601188,885367,117456194,37473055,778523,22427016,36697022
182329,192885,1085919,60497320,908966,108410647,36551629,635027,25548899,37684233
<not counted>,64518,175064,30167488,377750,<not counted>,25458438,<not counted>,10675484,16574495
<not counted>,102869,248195,42471740,771952,36521296,37763865,374161,16904352,26894639
913051,360971,3975758,273844427,2564307,290902747,293795832,4269484,52745964,104008877
<not counted>,87446,173759,59393565,758568,<not counted>,73681602,<not counted>,12064380,26141523
<not counted>,28375,633004,4566112,<not counted>,<not counted>,2129980,<not counted>,<not counted>,3315600
248678,97215,1194894,76340836,728706,113712838,73987576,1150547,24522352,37315929
<not counted>,55803,670123,40304134,155583,<not counted>,36641266,<not counted>,7963294,18523834
<not counted>,506383,2383499,218257199,2723777,184238641,141189061,1878382,77258122,129143573
<not counted>,76592,208327,57798586,510086,59058816,42212181,492709,16387633,29962726
<not counted>,83521,232518,42002316,123714,<not counted>,34224433,<not counted>,11259527,24293583
115771,166185,740133,50325668,1208074,82189078,28218575,1109401,21848056,33848219
<not counted>,66430,227115,38802155,272776,<not counted>,29637073,<not counted>,9774400,21409620
<not counted>,74559,359467,11320946,<not counted>,<not counted>,10289808,<not counted>,2652539,5938585
406416,173582,1051315,112595234,1710754,108651004,114879593,1085837,31160724,55569273
<not counted>,26904,62684,3382056,<not counted>,<not counted>,1568085,<not counted>,<not counted>,2465424
<not counted>,10588,33174,2434596,<not counted>,<not counted>,813524,<not counted>,2259485,1921033
<not counted>,23040,67998,3076863,<not counted>,<not counted>,1142057,<not counted>,<not counted>,4214038
