LLC-prefetches,cache-misses,cache-references,cycles,dtlb_misses_walk_cycles,inst_retired_any_p,instructions,l2_lines_in_any,stalled-cycles-backend,stalled-cycles-frontend
39186572,14657638,165712734,57819957417,336347817,76023507087,76206139885,230696177,8961188923,20661849894
39330467,12755068,184126001,58195558277,335691788,74800134477,75271298921,252703333,8934819380,21088411984
37167154,11355647,174909250,58440734548,321233833,74615783995,74079728936,248244339,9551502646,21820478212
38719146,11247809,171940235,57623187722,317060770,73578780247,73673949775,246414082,9797332807,21529604200
37618704,11726249,174885587,57626444393,310685070,73456023949,73957927263,246999769,9020583271,21332044292
39971426,14228038,179282531,57481734531,332081276,73815322104,73957571515,247502403,8995719024,20962859079
38834307,14855907,163818016,57435548006,313398667,74154257628,74226308458,230691550,9027087643,20797453360
73058632,17796929,164716176,57322237551,350293236,74416985400,74554154661,255128095,8939757695,20648201980
37879529,13243785,161090976,58228428307,323791641,74707811540,75264395556,229030609,9033940114,21044675849
39766442,11730642,166366278,58017948239,322996379,75910424015,75142726259,235609849,9135465715,21068796106
41188661,13840142,169029223,57961754265,300466572,75809620780,75949988424,237504721,8650179057,20846935095
39738551,10823092,185106764,57212506532,279039136,75467816250,74597768868,233615390,8677951189,20520794414
47837920,17289312,243088724,59244394013,404492785,75825731076,75289657448,328981420,10617071330,23168253010
38605868,13537451,168738770,57948576801,327417292,75559284146,75970337201,238572660,8873676031,21230633581
41627010,15430065,205770810,59239574420,368582951,77089146963,76972555108,285918746,10437099125,23190129110
39317447,16257736,186568268,58690859107,379563150,77320550605,76934269137,263201923,9585962758,22619751779
40220475,15543744,189060213,58199596499,356531893,76409256484,76166461229,261605839,9396812128,22198436079
42229879,17849344,209119727,58972049851,416637631,76843238848,76599529163,296051105,10309879882,23309281737
35886004,11728770,156552288,57278844230,306492374,76801209327,76162283089,221221718,8782187806,21038946485
39549390,17527231,204653569,58872675345,360455948,76365207255,76818118796,277996238,10167457411,23269074875
42049140,18856299,216882405,59656514258,412924651,77180354384,77605017343,300407529,10431267834,23807946472
37832992,16764039,184543797,58278618380,343749008,77478342417,77235710372,258291227,8897743614,22224666393
