flink,terasort,comnet.sh,114.736834 
flink,terasort,comnet.sh,113.860383 
flink,terasort,comnet.sh,110.756439 
flink,terasort,comnet.sh,111.095541 
flink,wordcount,cmbw.sh,6.686760 
flink,wordcount,cmbw.sh,7.013432 
flink,wordcount,cmbw.sh,7.728608 
flink,wordcount,cmbw.sh,6.474533 
flink,wordcount,cmbw.sh,no,6.590970 
flink,wordcount,cmbw.sh,bw,11.774075 
flink,wordcount,cmbw.sh,cache,8.327118 
flink,wordcount,cmbw.sh,no,6.655149 
flink,wordcount,cmbw.sh,bw,7.877434 
flink,wordcount,cmbw.sh,cache,8.458174 
flink,wordcount,cmbw.sh,no,6.534808 
flink,wordcount,cmbw.sh,bw,8.062468 
flink,wordcount,cmbw.sh,cache,9.031437 
flink,wordcount,cmbw.sh,no,6.537175 
flink,wordcount,cmbw.sh,bw,8.839765 
flink,wordcount,cmbw.sh,cache,8.722370 
flink,wordcount,cmbw.sh,no,6.463452 
flink,wordcount,cmbw.sh,bw,9.176441 
flink,wordcount,cmbw.sh,cache,8.620940 
flink,wordcount,cmbw.sh,no,6.516900 
flink,wordcount,cmbw.sh,bw,8.265017 
flink,wordcount,cmbw.sh,cache,8.746090 
flink,wordcount,cmbw.sh,no,6.463476 
flink,wordcount,cmbw.sh,bw,8.403048 
flink,wordcount,cmbw.sh,cache,8.302696 
flink,wordcount,cmbw.sh,no,6.461599 
flink,wordcount,cmbw.sh,bw,8.506733 
flink,wordcount,cmbw.sh,cache,9.465719 
flink,wordcount,cmbw.sh,no,6.705481 
flink,wordcount,cmbw.sh,no,6.495691 
flink,wordcount,cmbw.sh,no,6.431240 
flink,wordcount,cmbw.sh,no,6.504885 
flink,wordcount,cmbw.sh,no,6.535872 
flink,wordcount,cmbw.sh,no,6.517776 
flink,wordcount,cmbw.sh,no,6.568099 
flink,wordcount,cmbw.sh,no,6.525785 
flink,wordcount,cmbw.sh,no,6.875440 
flink,wordcount,cmbw.sh,no,6.491679 
flink,wordcount,cmbw.sh,no,6.916266 
flink,wordcount,cmbw.sh,no,6.436676 
flink,wordcount,cmbw.sh,no,6.477159 
flink,wordcount,cmbw.sh,bwcache,8.996385 
flink,wordcount,cmbw.sh,no,9.168840 
flink,wordcount,cmbw.sh,no,10.174397 
flink,wordcount,cmbw.sh,no,6.464830 
flink,wordcount,cmbw.sh,bwcache,9.081006 
flink,wordcount,cmbw.sh,no,10.554527 
flink,wordcount,cmbw.sh,no,8.895185 
flink,wordcount,cmbw.sh,no,6.494866 
flink,wordcount,cmbw.sh,bwcache,8.836947 
flink,wordcount,cmbw.sh,no,8.788011 
flink,wordcount,cmbw.sh,no,8.650590 
flink,wordcount,cmbw.sh,no,6.814163 
flink,wordcount,cmbw.sh,bwcache,8.523625 
flink,wordcount,cmbw.sh,no,8.160625 
flink,wordcount,cmbw.sh,no,8.315852 
flink,wordcount,cmbw.sh,no,6.496311 
flink,wordcount,cmbw.sh,bwcache,10.444848 
flink,wordcount,cmbw.sh,no,9.740053 
flink,wordcount,cmbw.sh,no,8.463667 
flink,wordcount,cmbw.sh,no,6.885193 
flink,wordcount,cmbw.sh,bwcache,8.969796 
flink,wordcount,cmbw.sh,no,8.808169 
flink,wordcount,cmbw.sh,no,9.856462 
flink,wordcount,cmbw.sh,no,6.663383 
flink,wordcount,cmbw.sh,bw,8.753716 
flink,wordcount,cmbw.sh,cache,8.426469 
flink,wordcount,cmbw.sh,no,8.503885 
flink,wordcount,cmbw.sh,bw,6.522878 
flink,wordcount,cmbw.sh,cache,9.194927 
flink,wordcount,cmbw.sh,no,8.872873 
flink,wordcount,cmbw.sh,bw,9.219190 
flink,wordcount,cmbw.sh,cache,6.881823 
flink,wordcount,cmbw.sh,no,8.821684 
flink,wordcount,cmbw.sh,bw,8.764793 
flink,wordcount,cmbw.sh,cache,8.550424 
